Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;41 шт;1 022;1 080 ₽;44%;—;615 ₽;602 ₽;25 404 ₽;1 602;5,0;Да;Да
2025-09-15;26 шт;1 039;1 080 ₽;45%;—;604 ₽;591 ₽;15 704 ₽;1 598;5,0;Да;Да
2025-09-14;76 шт;1 047;1 080 ₽;45%;—;604 ₽;591 ₽;45 904 ₽;1 596;5,0;Да;Да
2025-09-13;45 шт;1 114;1 080 ₽;45%;—;604 ₽;591 ₽;27 180 ₽;1 592;5,0;Да;Да
2025-09-12;41 шт;1 138;1 080 ₽;45%;—;604 ₽;591 ₽;25 094 ₽;1 589;5,0;Да;Да
2025-09-11;32 шт;1 162;1 080 ₽;42%;—;637 ₽;624 ₽;20 914 ₽;1 586;5,0;Да;Да
2025-09-10;33 шт;1 175;1 080 ₽;38%;—;680 ₽;666 ₽;22 966 ₽;1 577;5,0;Да;Да
2025-09-09;53 шт;379;1 080 ₽;37%;—;691 ₽;677 ₽;38 504 ₽;1 571;5,0;Да;Да
2025-09-08;43 шт;948;1 080 ₽;40%;—;658 ₽;644 ₽;29 280 ₽;1 565;5,0;Да;Да
2025-09-07;40 шт;1 266;1 080 ₽;40%;—;658 ₽;644 ₽;27 134 ₽;1 563;5,0;Да;Да
2025-09-06;34 шт;872;1 080 ₽;37%;—;691 ₽;677 ₽;24 665 ₽;1 561;5,0;Да;Да
2025-09-05;41 шт;887;1 080 ₽;30%;—;756 ₽;740 ₽;32 739 ₽;1 554;5,0;Да;Да
2025-09-04;44 шт;915;1 080 ₽;24%;—;831 ₽;814 ₽;37 814 ₽;1 552;5,0;Да;Да
2025-09-03;29 шт;944;1 080 ₽;20%;—;864 ₽;846 ₽;22 485 ₽;1 550;5,0;Да;Да
2025-09-02;61 шт;953;1 080 ₽;42%;—;637 ₽;624 ₽;39 143 ₽;1 547;5,0;Да;Да
2025-09-01;70 шт;1 002;1 080 ₽;42%;—;637 ₽;624 ₽;45 162 ₽;1 543;5,0;Да;Да
2025-08-31;61 шт;1 052;1 080 ₽;40%;—;648 ₽;635 ₽;39 528 ₽;1 541;5,0;Да;Да
2025-08-30;29 шт;1 099;1 080 ₽;40%;—;648 ₽;635 ₽;21 502 ₽;1 536;5,0;Да;Да
2025-08-29;38 шт;1 116;1 080 ₽;30%;—;756 ₽;740 ₽;31 035 ₽;1 536;5,0;Да;Да
2025-08-28;39 шт;1 138;1 080 ₽;25%;—;810 ₽;793 ₽;32 130 ₽;1 533;5,0;Да;Да
2025-08-27;39 шт;1 155;1 080 ₽;25%;—;810 ₽;793 ₽;34 372 ₽;1 531;5,0;Да;Да
2025-08-26;55 шт;1 177;1 080 ₽;17%;—;907 ₽;888 ₽;49 885 ₽;1 528;5,0;Да;Да
2025-08-25;52 шт;1 212;1 080 ₽;17%;—;907 ₽;888 ₽;46 253 ₽;1 528;5,0;Да;Да
2025-08-24;47 шт;1 246;1 060 ₽;19%;—;869 ₽;851 ₽;40 843 ₽;1 525;5,0;Да;Да
2025-08-23;37 шт;1 135;1 060 ₽;19%;—;869 ₽;851 ₽;32 153 ₽;1 519;5,0;Да;Да
2025-08-22;47 шт;1 151;1 060 ₽;19%;—;869 ₽;851 ₽;40 843 ₽;1 516;5,0;Да;Да
2025-08-21;35 шт;1 189;1 060 ₽;19%;—;869 ₽;851 ₽;31 793 ₽;1 514;5,0;Да;Да
2025-08-20;43 шт;1 204;1 060 ₽;14%;—;922 ₽;903 ₽;39 569 ₽;1 510;5,0;Да;Да
2025-08-19;43 шт;1 229;1 060 ₽;15%;—;901 ₽;882 ₽;37 284 ₽;1 504;5,0;Да;Да
2025-08-18;30 шт;1 251;1 060 ₽;20%;—;858 ₽;840 ₽;25 550 ₽;1 502;5,0;Да;Да
