Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;22 шт;405;2 200 ₽;72%;—;627 ₽;614 ₽;13 838 ₽;515;5,0;Да;Да
2025-09-15;29 шт;409;2 200 ₽;72%;—;616 ₽;603 ₽;17 864 ₽;514;5,0;Да;Да
2025-09-14;43 шт;432;2 200 ₽;72%;—;616 ₽;603 ₽;26 488 ₽;514;5,0;Да;Да
2025-09-13;17 шт;463;2 200 ₽;72%;—;616 ₽;603 ₽;10 472 ₽;511;5,0;Да;Да
2025-09-12;14 шт;428;2 200 ₽;72%;—;616 ₽;603 ₽;8 888 ₽;510;5,0;Да;Да
2025-09-11;14 шт;433;2 200 ₽;72%;—;616 ₽;603 ₽;9 460 ₽;508;5,0;Да;Да
2025-09-10;12 шт;439;2 200 ₽;69%;—;693 ₽;679 ₽;8 613 ₽;504;5,0;Да;Да
2025-09-09;16 шт;104;2 200 ₽;68%;—;704 ₽;689 ₽;11 935 ₽;503;5,0;Да;Да
2025-09-08;13 шт;412;2 200 ₽;70%;—;671 ₽;657 ₽;8 943 ₽;502;5,0;Да;Да
2025-09-07;14 шт;442;2 200 ₽;70%;—;671 ₽;657 ₽;9 625 ₽;502;5,0;Да;Да
2025-09-06;15 шт;446;2 200 ₽;68%;—;704 ₽;689 ₽;11 154 ₽;501;5,0;Да;Да
2025-09-05;12 шт;451;2 200 ₽;65%;—;770 ₽;754 ₽;9 713 ₽;500;5,0;Да;Да
2025-09-04;6 шт;448;2 200 ₽;62%;—;847 ₽;830 ₽;5 247 ₽;498;5,0;Да;Да
2025-09-03;8 шт;447;2 200 ₽;60%;—;880 ₽;862 ₽;6 369 ₽;496;5,0;Да;Да
2025-09-02;7 шт;445;2 200 ₽;71%;—;649 ₽;636 ₽;4 587 ₽;495;5,0;Да;Да
2025-09-01;10 шт;446;2 200 ₽;71%;—;649 ₽;636 ₽;6 589 ₽;493;5,0;Да;Да
2025-08-31;11 шт;447;2 200 ₽;70%;—;660 ₽;646 ₽;7 271 ₽;491;5,0;Да;Да
2025-08-30;6 шт;450;2 200 ₽;70%;—;660 ₽;646 ₽;5 038 ₽;491;5,0;Да;Да
2025-08-29;19 шт;451;2 200 ₽;61%;—;858 ₽;840 ₽;19 844 ₽;485;5,0;Да;Да
2025-08-28;15 шт;462;2 200 ₽;63%;—;825 ₽;808 ₽;15 554 ₽;481;5,0;Да;Да
2025-08-27;15 шт;462;2 200 ₽;52%;—;1 056 ₽;1 034 ₽;15 180 ₽;479;5,0;Да;Да
2025-08-26;9 шт;467;2 200 ₽;58%;—;924 ₽;905 ₽;8 316 ₽;476;5,0;Да;Да
2025-08-25;12 шт;468;2 200 ₽;54%;—;1 012 ₽;991 ₽;11 187 ₽;474;5,0;Да;Да
2025-08-24;10 шт;473;2 200 ₽;59%;—;902 ₽;883 ₽;9 196 ₽;472;5,0;Да;Да
2025-08-23;10 шт;478;2 200 ₽;56%;—;990 ₽;970 ₽;9 020 ₽;471;5,0;Да;Да
2025-08-22;8 шт;475;2 200 ₽;59%;—;902 ₽;883 ₽;7 304 ₽;471;5,0;Да;Да
2025-08-21;7 шт;476;2 200 ₽;59%;—;902 ₽;883 ₽;6 666 ₽;470;5,0;Да;Да
2025-08-20;7 шт;478;2 200 ₽;59%;—;902 ₽;970 ₽;6 666 ₽;470;5,0;Да;Да
2025-08-19;11 шт;470;2 200 ₽;56%;—;979 ₽;959 ₽;9 394 ₽;467;5,0;Да;Да
2025-08-18;13 шт;474;2 200 ₽;62%;—;836 ₽;819 ₽;10 802 ₽;466;5,0;Да;Да
2025-08-17;10 шт;476;2 200 ₽;63%;—;825 ₽;808 ₽;8 250 ₽;463;5,0;Да;Да
2025-08-16;12 шт;480;2 200 ₽;63%;—;825 ₽;808 ₽;10 956 ₽;456;5,0;Да;Да
2025-08-15;10 шт;483;2 200 ₽;56%;—;979 ₽;959 ₽;9 438 ₽;455;5,0;Да;Да
2025-08-14;12 шт;490;2 200 ₽;56%;—;979 ₽;959 ₽;9 636 ₽;454;5,0;Да;Да
2025-08-13;9 шт;495;2 200 ₽;56%;—;979 ₽;959 ₽;7 227 ₽;450;5,0;Да;Да
2025-08-12;13 шт;499;2 200 ₽;63%;—;814 ₽;797 ₽;10 439 ₽;448;5,0;Да;Да
2025-08-11;12 шт;501;2 200 ₽;63%;—;814 ₽;797 ₽;9 636 ₽;446;5,0;Да;Да
2025-08-10;15 шт;503;2 200 ₽;64%;—;803 ₽;786 ₽;12 045 ₽;446;5,0;Да;Да
2025-08-09;16 шт;507;2 200 ₽;64%;—;803 ₽;786 ₽;12 848 ₽;443;5,0;Да;Да
2025-08-08;10 шт;512;2 200 ₽;64%;—;803 ₽;786 ₽;8 030 ₽;442;5,0;Да;Да
2025-08-07;11 шт;513;2 200 ₽;63%;—;814 ₽;797 ₽;8 833 ₽;437;5,0;Да;Да
2025-08-06;11 шт;515;2 200 ₽;63%;—;814 ₽;797 ₽;8 833 ₽;436;5,0;Да;Да
2025-08-05;10 шт;519;2 200 ₽;63%;—;814 ₽;797 ₽;8 030 ₽;431;5,0;Да;Да
2025-08-04;17 шт;519;2 200 ₽;64%;—;792 ₽;776 ₽;13 651 ₽;429;5,0;Да;Да
2025-08-03;12 шт;527;2 200 ₽;64%;—;803 ₽;776 ₽;9 636 ₽;428;5,0;Да;Да
2025-08-02;15 шт;534;2 200 ₽;64%;—;792 ₽;776 ₽;12 045 ₽;427;5,0;Да;Да
2025-08-01;19 шт;532;2 200 ₽;65%;—;781 ₽;765 ₽;15 279 ₽;425;5,0;Да;Да
2025-07-31;20 шт;540;2 200 ₽;65%;—;770 ₽;754 ₽;15 719 ₽;423;5,0;Да;Да
2025-07-30;14 шт;545;2 200 ₽;64%;—;803 ₽;786 ₽;11 253 ₽;422;5,0;Да;Да
2025-07-29;20 шт;547;2 200 ₽;65%;—;781 ₽;765 ₽;15 785 ₽;414;5,0;Да;Да
2025-07-28;18 шт;555;2 200 ₽;65%;—;770 ₽;754 ₽;14 102 ₽;413;5,0;Нет;Да
2025-07-27;17 шт;556;2 200 ₽;64%;—;792 ₽;776 ₽;13 684 ₽;411;5,0;Да;Да
2025-07-26;16 шт;561;2 200 ₽;65%;—;781 ₽;765 ₽;13 244 ₽;411;5,0;Да;Да
2025-07-25;18 шт;564;2 200 ₽;66%;—;759 ₽;743 ₽;13 926 ₽;409;5,0;Да;Да
2025-07-24;19 шт;566;2 200 ₽;57%;—;968 ₽;948 ₽;15 620 ₽;406;5,0;Да;Да
2025-07-23;16 шт;567;2 200 ₽;64%;—;803 ₽;948 ₽;13 684 ₽;402;5,0;Да;Да
2025-07-22;30 шт;571;2 200 ₽;65%;—;781 ₽;948 ₽;25 454 ₽;390;5,0;Да;Да
2025-07-21;17 шт;580;2 200 ₽;64%;—;792 ₽;776 ₽;14 366 ₽;390;5,0;Да;Да
2025-07-20;20 шт;581;2 200 ₽;57%;—;968 ₽;948 ₽;16 621 ₽;388;5,0;Да;Да
2025-07-19;21 шт;582;2 200 ₽;65%;—;781 ₽;765 ₽;16 643 ₽;382;5,0;Да;Да
2025-07-18;23 шт;577;2 200 ₽;65%;—;770 ₽;754 ₽;18 161 ₽;379;5,0;Да;Да
