Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-02-01;2 шт;395;2 486 ₽;57%;—;1 056 ₽;1 034 ₽;2 112 ₽;2 989;5,0;Да;Нет
2025-01-08;8 шт;798;1 900 ₽;57%;—;807 ₽;790 ₽;6 456 ₽;2 898;5,0;Нет;Нет
2025-02-02;8 шт;389;2 486 ₽;57%;—;1 056 ₽;1 034 ₽;8 448 ₽;2 990;5,0;Да;Нет
2025-01-09;9 шт;789;1 900 ₽;57%;—;807 ₽;790 ₽;7 263 ₽;2 898;5,0;Нет;Нет
2025-02-03;5 шт;384;2 486 ₽;57%;—;1 056 ₽;1 034 ₽;5 280 ₽;2 994;5,0;Да;Нет
2025-01-10;12 шт;777;1 900 ₽;57%;—;807 ₽;790 ₽;9 684 ₽;2 899;5,0;Нет;Нет
2025-02-04;6 шт;378;2 486 ₽;57%;—;1 056 ₽;1 034 ₽;6 336 ₽;2 997;5,0;Да;Нет
2024-10-01;5 шт;890;1 816 ₽;57%;—;771 ₽;0 ₽;3 855 ₽;2 629;5,0;Да;Да
2025-01-11;12 шт;765;1 900 ₽;57%;—;807 ₽;790 ₽;9 684 ₽;2 901;5,0;Нет;Нет
2024-10-02;8 шт;882;1 816 ₽;57%;—;771 ₽;0 ₽;6 168 ₽;2 629;5,0;Да;Да
2025-01-12;11 шт;754;1 970 ₽;57%;—;837 ₽;820 ₽;9 207 ₽;2 904;5,0;Нет;Нет
2025-02-06;0 шт;373;2 486 ₽;57%;—;1 056 ₽;1 034 ₽;0 ₽;2 998;5,0;Нет;Нет
2024-10-03;7 шт;875;1 816 ₽;57%;—;771 ₽;0 ₽;5 397 ₽;2 629;5,0;Да;Да
2025-01-13;10 шт;744;1 970 ₽;57%;—;837 ₽;820 ₽;8 370 ₽;2 905;5,0;Нет;Нет
2024-10-04;12 шт;1 031;1 816 ₽;57%;—;771 ₽;0 ₽;9 252 ₽;2 636;5,0;Да;Да
2025-01-14;12 шт;745;1 970 ₽;57%;—;837 ₽;820 ₽;10 044 ₽;2 912;5,0;Нет;Нет
2024-10-05;6 шт;1 025;1 816 ₽;57%;—;771 ₽;0 ₽;4 626 ₽;2 638;5,0;Да;Да
2025-01-15;21 шт;724;1 970 ₽;57%;—;837 ₽;820 ₽;17 577 ₽;2 916;5,0;Да;Нет
