Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-05-18;17 шт;582;752 ₽;14%;—;654 ₽;640 ₽;11 054 ₽;5 971;5,0;Да;Да
2024-09-26;26 шт;1 294;588 ₽;14%;—;505 ₽;0 ₽;13 130 ₽;4 365;5,0;Да;Нет
2024-09-27;24 шт;1 270;588 ₽;14%;—;505 ₽;0 ₽;12 120 ₽;4 370;5,0;Да;Нет
2024-09-28;20 шт;1 250;588 ₽;14%;—;505 ₽;0 ₽;10 100 ₽;4 377;5,0;Да;Нет
2025-02-01;18 шт;356;830 ₽;15%;—;705 ₽;690 ₽;12 690 ₽;5 301;5,0;Да;Нет
2025-02-02;15 шт;341;830 ₽;15%;—;705 ₽;690 ₽;10 575 ₽;5 308;5,0;Да;Нет
2025-01-08;11 шт;508;785 ₽;15%;—;667 ₽;653 ₽;7 337 ₽;5 170;5,0;Да;Нет
2025-02-03;20 шт;612;830 ₽;15%;—;705 ₽;690 ₽;14 100 ₽;5 316;5,0;Да;Нет
2025-01-09;15 шт;493;785 ₽;15%;—;667 ₽;653 ₽;10 005 ₽;5 174;5,0;Да;Нет
2025-02-04;27 шт;585;830 ₽;15%;—;705 ₽;690 ₽;19 035 ₽;5 321;5,0;Да;Нет
2025-01-10;15 шт;478;785 ₽;15%;—;667 ₽;653 ₽;10 005 ₽;5 176;5,0;Да;Нет
2024-10-01;33 шт;1 163;588 ₽;15%;—;499 ₽;0 ₽;16 467 ₽;4 393;5,0;Да;Нет
2024-11-06;19 шт;513;635 ₽;15%;—;539 ₽;522 ₽;10 241 ₽;4 700;5,0;Нет;Нет
2025-01-11;17 шт;461;785 ₽;15%;—;667 ₽;653 ₽;11 339 ₽;5 187;5,0;Да;Нет
2024-10-02;28 шт;1 135;588 ₽;15%;—;499 ₽;0 ₽;13 972 ₽;4 401;5,0;Да;Нет
2025-02-06;29 шт;527;830 ₽;15%;—;705 ₽;690 ₽;20 445 ₽;5 334;5,0;Да;Нет
2025-01-12;39 шт;424;785 ₽;15%;—;667 ₽;653 ₽;26 013 ₽;5 188;5,0;Да;Нет
2024-10-03;34 шт;1 101;588 ₽;15%;—;499 ₽;0 ₽;16 966 ₽;4 410;5,0;Да;Нет
2025-01-13;31 шт;393;785 ₽;15%;—;667 ₽;653 ₽;20 677 ₽;5 190;5,0;Да;Нет
2024-10-04;17 шт;1 084;605 ₽;15%;—;514 ₽;0 ₽;8 738 ₽;4 414;5,0;Да;Нет
2025-01-14;25 шт;368;785 ₽;15%;—;667 ₽;653 ₽;16 675 ₽;5 194;5,0;Да;Нет
2024-10-05;18 шт;1 066;605 ₽;15%;—;514 ₽;0 ₽;9 252 ₽;4 422;5,0;Да;Нет
2025-01-15;22 шт;346;785 ₽;15%;—;667 ₽;653 ₽;14 674 ₽;5 201;5,0;Да;Нет
2024-10-06;23 шт;1 043;605 ₽;15%;—;514 ₽;0 ₽;11 822 ₽;4 435;5,0;Да;Нет
2025-01-16;34 шт;312;785 ₽;15%;—;667 ₽;653 ₽;22 678 ₽;5 204;5,0;Да;Нет
2024-10-07;20 шт;1 023;605 ₽;15%;—;514 ₽;0 ₽;10 280 ₽;4 444;5,0;Да;Нет
2025-01-17;23 шт;289;785 ₽;15%;—;667 ₽;653 ₽;15 341 ₽;5 208;5,0;Да;Нет
2025-08-20;11 шт;408;810 ₽;15%;—;696 ₽;682 ₽;7 584 ₽;2 095;5,0;Да;Да
2024-10-08;22 шт;1 001;605 ₽;15%;—;514 ₽;0 ₽;11 308 ₽;4 450;5,0;Да;Нет
2025-01-18;20 шт;269;785 ₽;15%;—;667 ₽;653 ₽;13 340 ₽;5 214;5,0;Да;Нет
2025-08-21;8 шт;400;810 ₽;15%;—;696 ₽;682 ₽;5 568 ₽;2 098;5,0;Да;Да
2024-10-09;24 шт;977;615 ₽;15%;—;522 ₽;0 ₽;12 528 ₽;4 457;5,0;Да;Нет
2025-01-19;21 шт;248;785 ₽;15%;—;667 ₽;653 ₽;14 007 ₽;5 219;5,0;Да;Нет
2025-08-22;15 шт;385;810 ₽;15%;—;696 ₽;682 ₽;10 440 ₽;2 101;5,0;Да;Да
2025-01-20;30 шт;218;820 ₽;15%;—;697 ₽;683 ₽;20 910 ₽;5 228;5,0;Да;Нет
2025-08-23;11 шт;374;810 ₽;15%;—;696 ₽;682 ₽;7 656 ₽;2 104;5,0;Да;Да
2024-10-11;15 шт;935;615 ₽;15%;—;522 ₽;0 ₽;7 830 ₽;4 483;5,0;Да;Нет
2025-01-21;27 шт;191;830 ₽;15%;—;705 ₽;690 ₽;19 035 ₽;5 233;5,0;Да;Нет
2025-08-24;10 шт;664;810 ₽;15%;—;696 ₽;682 ₽;6 960 ₽;2 105;5,0;Да;Да
2025-01-22;17 шт;174;830 ₽;15%;—;705 ₽;705 ₽;11 985 ₽;5 236;5,0;Да;Нет
2025-08-25;21 шт;643;810 ₽;15%;—;696 ₽;682 ₽;14 616 ₽;2 106;5,0;Да;Да
2024-10-13;11 шт;912;615 ₽;15%;—;522 ₽;0 ₽;5 742 ₽;4 501;5,0;Да;Нет
2025-08-26;13 шт;630;810 ₽;15%;—;696 ₽;682 ₽;9 048 ₽;2 107;5,0;Да;Да
2024-10-14;15 шт;897;615 ₽;15%;—;522 ₽;0 ₽;7 830 ₽;4 509;5,0;Да;Нет
2025-01-24;19 шт;127;830 ₽;15%;—;705 ₽;690 ₽;13 395 ₽;5 254;5,0;Да;Нет
2025-01-25;12 шт;115;830 ₽;15%;—;705 ₽;690 ₽;8 460 ₽;5 261;5,0;Да;Нет
2025-01-26;14 шт;101;830 ₽;15%;—;705 ₽;690 ₽;9 870 ₽;5 268;5,0;Да;Нет
2024-10-17;20 шт;898;615 ₽;15%;—;522 ₽;506 ₽;10 440 ₽;4 545;5,0;Да;Нет
2024-10-18;15 шт;883;635 ₽;15%;—;539 ₽;522 ₽;8 085 ₽;4 552;5,0;Да;Нет
2024-12-22;14 шт;544;760 ₽;15%;—;646 ₽;633 ₽;9 044 ₽;5 076;5,0;Да;Нет
2025-01-29;15 шт;57;830 ₽;15%;—;705 ₽;690 ₽;10 575 ₽;5 286;5,0;Да;Нет
2024-12-23;13 шт;531;760 ₽;15%;—;646 ₽;633 ₽;8 398 ₽;5 084;5,0;Да;Нет
2024-10-20;18 шт;852;635 ₽;15%;—;539 ₽;522 ₽;9 702 ₽;4 572;5,0;Да;Нет
2025-01-30;17 шт;40;830 ₽;15%;—;705 ₽;690 ₽;11 985 ₽;5 293;5,0;Да;Нет
2024-12-24;17 шт;514;760 ₽;15%;—;646 ₽;633 ₽;10 982 ₽;5 096;5,0;Да;Нет
2024-10-21;16 шт;836;635 ₽;15%;—;539 ₽;522 ₽;8 624 ₽;4 527;5,0;Да;Нет
2025-01-31;13 шт;27;830 ₽;15%;—;705 ₽;690 ₽;9 165 ₽;5 298;5,0;Да;Нет
2024-12-25;20 шт;494;760 ₽;15%;—;646 ₽;633 ₽;12 920 ₽;5 100;5,0;Да;Нет
2024-10-22;13 шт;823;635 ₽;15%;—;539 ₽;522 ₽;7 007 ₽;4 527;5,0;Да;Нет
2025-01-01;1 шт;538;760 ₽;15%;—;646 ₽;633 ₽;646 ₽;5 126;5,0;Да;Нет
2024-12-26;23 шт;471;760 ₽;15%;—;646 ₽;633 ₽;14 858 ₽;5 104;5,0;Да;Нет
2025-01-02;5 шт;553;785 ₽;15%;—;667 ₽;653 ₽;3 335 ₽;5 136;5,0;Да;Нет
2024-12-27;24 шт;450;760 ₽;15%;—;646 ₽;633 ₽;15 504 ₽;5 107;5,0;Да;Нет
2025-01-03;5 шт;548;785 ₽;15%;—;667 ₽;653 ₽;3 335 ₽;5 141;5,0;Да;Нет
2024-12-28;7 шт;443;760 ₽;15%;—;646 ₽;633 ₽;4 522 ₽;5 114;5,0;Да;Нет
2025-01-04;8 шт;540;785 ₽;15%;—;667 ₽;653 ₽;5 336 ₽;5 149;5,0;Да;Нет
2024-12-29;13 шт;549;760 ₽;15%;—;646 ₽;633 ₽;8 398 ₽;5 119;5,0;Да;Нет
2025-01-05;6 шт;534;785 ₽;15%;—;667 ₽;653 ₽;4 002 ₽;5 154;5,0;Да;Нет
2024-12-30;7 шт;542;760 ₽;15%;—;646 ₽;633 ₽;4 522 ₽;5 121;5,0;Да;Нет
2025-01-06;5 шт;529;785 ₽;15%;—;667 ₽;653 ₽;3 335 ₽;5 159;5,0;Да;Нет
2024-12-31;3 шт;539;760 ₽;15%;—;646 ₽;633 ₽;1 938 ₽;5 124;5,0;Да;Нет
2025-01-07;10 шт;519;785 ₽;15%;—;667 ₽;653 ₽;6 670 ₽;5 164;5,0;Да;Нет
2024-09-16;18 шт;1 530;588 ₽;16%;—;493 ₽;0 ₽;8 874 ₽;4 281;5,0;Да;Нет
2024-09-17;18 шт;1 512;588 ₽;16%;—;493 ₽;0 ₽;8 874 ₽;4 293;5,0;Да;Нет
2024-09-18;20 шт;1 492;588 ₽;16%;—;493 ₽;0 ₽;9 860 ₽;4 301;5,0;Да;Нет
2024-11-05;28 шт;532;635 ₽;16%;—;533 ₽;517 ₽;14 924 ₽;4 696;5,0;Нет;Нет
2024-09-19;21 шт;1 471;588 ₽;16%;—;493 ₽;0 ₽;10 353 ₽;4 312;5,0;Да;Нет
2025-02-05;29 шт;556;830 ₽;16%;—;697 ₽;683 ₽;20 213 ₽;5 325;5,0;Да;Нет
2024-09-20;18 шт;1 453;588 ₽;16%;—;493 ₽;0 ₽;8 874 ₽;4 322;5,0;Да;Нет
2024-11-07;28 шт;485;635 ₽;16%;—;533 ₽;517 ₽;14 924 ₽;4 713;5,0;Нет;Нет
2024-09-21;24 шт;1 429;588 ₽;16%;—;493 ₽;0 ₽;11 832 ₽;4 331;5,0;Да;Нет
2024-11-08;27 шт;458;635 ₽;16%;—;533 ₽;517 ₽;14 391 ₽;4 728;5,0;Нет;Нет
2025-02-07;31 шт;496;830 ₽;16%;—;697 ₽;683 ₽;21 607 ₽;5 337;5,0;Да;Нет
2024-09-22;26 шт;1 399;588 ₽;16%;—;493 ₽;0 ₽;12 818 ₽;4 340;5,0;Да;Нет
2024-11-09;22 шт;436;635 ₽;16%;—;533 ₽;517 ₽;11 726 ₽;4 728;5,0;Нет;Нет
2025-02-08;29 шт;467;830 ₽;16%;—;697 ₽;683 ₽;20 213 ₽;5 341;5,0;Да;Нет
2024-09-23;25 шт;1 375;588 ₽;16%;—;493 ₽;0 ₽;12 325 ₽;4 347;5,0;Да;Нет
2024-11-10;21 шт;415;635 ₽;16%;—;533 ₽;517 ₽;11 193 ₽;4 739;5,0;Нет;Нет
2025-02-09;21 шт;446;830 ₽;16%;—;697 ₽;683 ₽;14 637 ₽;5 346;5,0;Да;Нет
2024-09-24;26 шт;1 349;588 ₽;16%;—;493 ₽;0 ₽;12 818 ₽;4 353;5,0;Да;Нет
2024-11-11;25 шт;390;650 ₽;16%;—;546 ₽;529 ₽;13 650 ₽;4 754;5,0;Нет;Нет
2025-02-10;28 шт;418;830 ₽;16%;—;697 ₽;683 ₽;19 516 ₽;5 355;5,0;Да;Нет
2025-08-19;16 шт;419;810 ₽;16%;—;688 ₽;674 ₽;10 792 ₽;2 092;5,0;Да;Да
2024-09-25;29 шт;1 320;588 ₽;16%;—;493 ₽;0 ₽;14 297 ₽;4 359;5,0;Да;Нет
2024-11-12;13 шт;377;650 ₽;16%;—;546 ₽;529 ₽;7 098 ₽;4 761;5,0;Нет;Нет
2024-11-14;12 шт;355;650 ₽;16%;—;546 ₽;529 ₽;6 552 ₽;4 779;5,0;Нет;Нет
2025-02-13;27 шт;317;830 ₽;16%;—;697 ₽;683 ₽;18 819 ₽;5 374;5,0;Да;Нет
2024-12-13;30 шт;717;720 ₽;16%;—;604 ₽;591 ₽;18 120 ₽;5 015;5,0;Нет;Нет
2024-10-10;27 шт;950;615 ₽;16%;—;516 ₽;0 ₽;13 932 ₽;4 471;5,0;Да;Нет
2025-02-14;18 шт;299;830 ₽;16%;—;697 ₽;683 ₽;12 546 ₽;5 378;5,0;Да;Нет
2024-12-14;30 шт;687;720 ₽;16%;—;604 ₽;591 ₽;18 120 ₽;5 022;5,0;Нет;Нет
2024-09-29;20 шт;1 230;588 ₽;16%;—;493 ₽;0 ₽;9 860 ₽;4 382;5,0;Да;Нет
2024-11-16;12 шт;331;650 ₽;16%;—;546 ₽;529 ₽;6 552 ₽;4 795;5,0;Нет;Нет
2025-02-15;17 шт;282;830 ₽;16%;—;697 ₽;683 ₽;11 849 ₽;5 387;5,0;Да;Нет
2024-12-15;18 шт;669;740 ₽;16%;—;621 ₽;608 ₽;11 178 ₽;5 029;5,0;Нет;Нет
2024-10-12;12 шт;923;615 ₽;16%;—;516 ₽;0 ₽;6 192 ₽;4 490;5,0;Да;Нет
2024-09-30;34 шт;1 196;588 ₽;16%;—;493 ₽;0 ₽;16 762 ₽;4 390;5,0;Да;Нет
2024-11-17;17 шт;713;650 ₽;16%;—;546 ₽;529 ₽;9 282 ₽;4 805;5,0;Нет;Нет
2025-02-16;30 шт;252;830 ₽;16%;—;697 ₽;683 ₽;20 910 ₽;5 391;5,0;Да;Нет
2024-12-16;12 шт;657;740 ₽;16%;—;621 ₽;608 ₽;7 452 ₽;5 038;5,0;Нет;Нет
2025-01-23;28 шт;146;830 ₽;16%;—;697 ₽;683 ₽;19 516 ₽;5 246;5,0;Да;Нет
2024-11-19;13 шт;687;650 ₽;16%;—;546 ₽;529 ₽;7 098 ₽;4 820;5,0;Нет;Нет
