Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-03;36 шт;679;1 900 ₽;57%;—;820 ₽;803 ₽;29 729 ₽;12 208;5,0;Да;Да
2025-08-19;16 шт;696;1 900 ₽;57%;—;817 ₽;800 ₽;12 813 ₽;12 091;5,0;Да;Да
2025-08-16;36 шт;569;1 900 ₽;59%;—;784 ₽;768 ₽;27 870 ₽;12 068;5,0;Да;Да
2025-08-17;27 шт;542;1 900 ₽;59%;—;784 ₽;768 ₽;21 168 ₽;12 073;5,0;Да;Да
2025-08-18;30 шт;712;1 900 ₽;59%;—;794 ₽;778 ₽;23 550 ₽;12 083;5,0;Да;Да
2025-08-06;33 шт;728;1 900 ₽;60%;—;770 ₽;754 ₽;24 750 ₽;11 975;5,0;Да;Да
2025-08-10;34 шт;718;1 900 ₽;60%;—;775 ₽;759 ₽;25 500 ₽;12 012;5,0;Да;Да
2025-07-23;48 шт;989;1 900 ₽;60%;—;765 ₽;749 ₽;35 106 ₽;11 873;5,0;Да;Да
2025-08-14;39 шт;539;1 900 ₽;60%;—;760 ₽;744 ₽;29 250 ₽;12 050;5,0;Да;Да
2025-08-15;30 шт;509;1 900 ₽;60%;—;760 ₽;744 ₽;22 560 ₽;12 059;5,0;Да;Да
2025-08-20;42 шт;952;1 900 ₽;60%;—;776 ₽;760 ₽;32 654 ₽;12 101;5,0;Да;Да
2025-08-21;40 шт;1 013;1 900 ₽;60%;—;776 ₽;760 ₽;31 040 ₽;12 105;5,0;Да;Да
2025-08-22;32 шт;981;1 900 ₽;60%;—;776 ₽;760 ₽;24 832 ₽;12 112;5,0;Да;Да
2025-08-23;37 шт;944;1 900 ₽;60%;—;776 ₽;760 ₽;28 712 ₽;12 119;5,0;Да;Да
2025-08-24;31 шт;913;1 900 ₽;60%;—;776 ₽;760 ₽;24 056 ₽;12 124;5,0;Да;Да
2025-08-25;38 шт;917;1 900 ₽;60%;—;776 ₽;760 ₽;29 488 ₽;12 130;5,0;Да;Да
2025-08-26;42 шт;913;1 900 ₽;60%;—;776 ₽;760 ₽;32 592 ₽;12 140;5,0;Да;Да
2025-07-16;66 шт;686;1 900 ₽;60%;—;769 ₽;753 ₽;45 296 ₽;11 818;5,0;Да;Да
2025-08-01;41 шт;718;1 900 ₽;61%;—;750 ₽;707 ₽;30 770 ₽;11 941;5,0;Да;Да
2025-09-01;43 шт;768;1 900 ₽;61%;—;750 ₽;735 ₽;32 430 ₽;12 192;5,0;Да;Да
2025-09-02;54 шт;714;1 900 ₽;61%;—;750 ₽;735 ₽;40 500 ₽;12 200;5,0;Да;Да
2025-08-03;38 шт;654;1 900 ₽;61%;—;750 ₽;726 ₽;28 500 ₽;11 962;5,0;Да;Да
2025-09-04;26 шт;653;1 925 ₽;61%;—;753 ₽;737 ₽;21 594 ₽;12 216;5,0;Да;Да
2025-08-05;45 шт;761;1 900 ₽;61%;—;750 ₽;774 ₽;33 750 ₽;11 971;5,0;Да;Да
2025-08-07;29 шт;699;1 900 ₽;61%;—;755 ₽;739 ₽;21 750 ₽;11 988;5,0;Да;Да
2025-08-08;35 шт;664;1 900 ₽;61%;—;755 ₽;739 ₽;26 250 ₽;11 995;5,0;Да;Да
2025-08-09;32 шт;752;1 900 ₽;61%;—;750 ₽;749 ₽;24 000 ₽;12 002;5,0;Да;Да
2025-08-11;37 шт;681;1 900 ₽;61%;—;750 ₽;759 ₽;27 750 ₽;12 014;5,0;Да;Да
2025-08-12;40 шт;642;1 900 ₽;61%;—;750 ₽;708 ₽;30 000 ₽;12 028;5,0;Да;Да
2025-08-13;54 шт;588;1 900 ₽;61%;—;750 ₽;699 ₽;40 500 ₽;12 043;5,0;Да;Да
2025-07-29;41 шт;844;1 900 ₽;61%;—;746 ₽;731 ₽;30 744 ₽;11 920;5,0;Да;Да
2025-07-30;46 шт;799;1 900 ₽;61%;—;750 ₽;735 ₽;34 980 ₽;11 933;5,0;Да;Да
2025-08-31;49 шт;811;1 900 ₽;61%;—;759 ₽;743 ₽;35 505 ₽;12 183;5,0;Да;Да
2025-08-02;26 шт;692;1 900 ₽;62%;—;731 ₽;716 ₽;19 500 ₽;11 951;5,0;Да;Да
2025-08-04;45 шт;608;1 900 ₽;62%;—;731 ₽;716 ₽;33 750 ₽;11 967;5,0;Да;Да
2025-07-19;27 шт;1 168;1 900 ₽;62%;—;722 ₽;707 ₽;19 550 ₽;11 832;5,0;Да;Да
2025-07-20;42 шт;1 126;1 900 ₽;62%;—;731 ₽;716 ₽;30 752 ₽;11 841;5,0;Да;Да
2025-07-21;46 шт;1 080;1 900 ₽;62%;—;731 ₽;716 ₽;33 740 ₽;11 848;5,0;Да;Да
2025-07-22;43 шт;1 037;1 900 ₽;62%;—;731 ₽;716 ₽;31 603 ₽;11 849;5,0;Да;Да
2025-07-25;32 шт;906;1 900 ₽;62%;—;722 ₽;707 ₽;23 347 ₽;11 888;5,0;Да;Да
2025-07-26;38 шт;968;1 900 ₽;62%;—;722 ₽;707 ₽;28 023 ₽;11 894;5,0;Да;Да
2025-07-27;41 шт;927;1 900 ₽;62%;—;722 ₽;707 ₽;30 324 ₽;11 903;5,0;Да;Да
2025-07-31;40 шт;759;1 900 ₽;62%;—;722 ₽;707 ₽;29 279 ₽;11 938;5,0;Да;Да
2025-08-27;45 шт;868;1 900 ₽;62%;—;723 ₽;708 ₽;34 125 ₽;12 147;5,0;Да;Да
2025-08-28;44 шт;824;1 900 ₽;62%;—;723 ₽;708 ₽;31 812 ₽;12 158;5,0;Да;Да
2025-08-29;33 шт;892;1 900 ₽;62%;—;723 ₽;708 ₽;23 859 ₽;12 165;5,0;Да;Да
2025-06-27;32 шт;882;2 000 ₽;62%;—;763 ₽;747 ₽;22 790 ₽;22 814;5,0;Да;Да
2025-07-17;37 шт;849;1 900 ₽;62%;—;722 ₽;707 ₽;27 856 ₽;11 818;5,0;Да;Да
