Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;58 шт;1 022;1 130 ₽;44%;—;644 ₽;631 ₽;37 801 ₽;2 899;5,0;Да;Да
2025-09-15;36 шт;1 050;1 130 ₽;45%;—;632 ₽;619 ₽;22 752 ₽;2 895;5,0;Да;Да
2025-09-14;51 шт;1 068;1 130 ₽;45%;—;632 ₽;619 ₽;32 232 ₽;2 891;5,0;Да;Да
2025-09-13;56 шт;1 103;1 130 ₽;45%;—;632 ₽;619 ₽;35 392 ₽;2 884;5,0;Да;Да
2025-09-12;42 шт;1 150;1 130 ₽;45%;—;632 ₽;619 ₽;26 912 ₽;2 880;5,0;Да;Да
2025-09-11;57 шт;1 180;1 130 ₽;45%;—;632 ₽;619 ₽;38 957 ₽;2 873;5,0;Да;Да
2025-09-10;63 шт;1 208;1 130 ₽;38%;—;711 ₽;696 ₽;46 229 ₽;2 862;5,0;Да;Да
2025-09-09;58 шт;305;1 130 ₽;37%;—;723 ₽;708 ₽;43 991 ₽;2 860;5,0;Да;Да
2025-09-08;50 шт;796;1 130 ₽;40%;—;689 ₽;675 ₽;35 291 ₽;2 849;5,0;Да;Да
2025-09-07;59 шт;1 295;1 130 ₽;40%;—;689 ₽;675 ₽;41 813 ₽;2 843;5,0;Да;Да
2025-09-06;47 шт;1 338;1 130 ₽;37%;—;723 ₽;708 ₽;36 031 ₽;2 840;5,0;Да;Да
2025-09-05;48 шт;1 357;1 130 ₽;30%;—;791 ₽;775 ₽;40 258 ₽;2 836;5,0;Да;Да
2025-09-04;52 шт;1 376;1 130 ₽;24%;—;870 ₽;852 ₽;46 936 ₽;2 825;5,0;Да;Да
2025-09-03;40 шт;1 393;1 130 ₽;20%;—;904 ₽;885 ₽;31 995 ₽;2 823;5,0;Да;Да
2025-09-02;78 шт;1 411;1 130 ₽;42%;—;666 ₽;652 ₽;52 356 ₽;2 814;5,0;Да;Да
2025-09-01;77 шт;1 472;1 130 ₽;42%;—;666 ₽;652 ₽;51 942 ₽;2 809;5,0;Да;Да
2025-08-31;117 шт;1 538;1 130 ₽;40%;—;678 ₽;664 ₽;79 326 ₽;2 805;5,0;Да;Да
2025-08-30;74 шт;1 641;1 130 ₽;40%;—;678 ₽;664 ₽;57 998 ₽;2 802;5,0;Да;Да
2025-08-29;58 шт;1 707;1 130 ₽;29%;—;813 ₽;796 ₽;51 270 ₽;2 799;5,0;Да;Да
2025-08-28;68 шт;1 747;1 130 ₽;24%;—;870 ₽;852 ₽;59 664 ₽;2 792;5,0;Да;Да
2025-08-27;48 шт;1 790;1 130 ₽;24%;—;870 ₽;852 ₽;44 800 ₽;2 789;5,0;Да;Да
2025-08-26;60 шт;1 804;1 130 ₽;15%;—;971 ₽;951 ₽;58 260 ₽;2 786;5,0;Да;Да
2025-08-25;71 шт;1 837;1 130 ₽;15%;—;971 ₽;951 ₽;68 268 ₽;2 783;5,0;Да;Да
2025-08-24;39 шт;1 880;1 230 ₽;17%;—;1 033 ₽;1 012 ₽;40 287 ₽;2 776;5,0;Да;Да
2025-08-23;47 шт;1 696;1 230 ₽;17%;—;1 033 ₽;1 012 ₽;48 551 ₽;2 770;5,0;Да;Да
2025-08-22;71 шт;1 717;1 230 ₽;17%;—;1 033 ₽;1 012 ₽;73 343 ₽;2 767;5,0;Да;Да
2025-08-21;54 шт;1 761;1 230 ₽;17%;—;1 033 ₽;1 012 ₽;55 782 ₽;2 764;5,0;Да;Да
2025-08-20;50 шт;1 796;1 230 ₽;17%;—;1 033 ₽;1 012 ₽;51 481 ₽;2 760;5,0;Да;Да
2025-08-19;87 шт;1 825;1 230 ₽;19%;—;1 008 ₽;987 ₽;84 494 ₽;2 753;5,0;Да;Да
2025-08-18;69 шт;1 885;1 230 ₽;23%;—;959 ₽;939 ₽;64 849 ₽;2 746;5,0;Да;Да
2025-08-17;87 шт;1 930;1 230 ₽;25%;—;934 ₽;915 ₽;81 258 ₽;2 739;5,0;Да;Да
2025-08-16;61 шт;1 993;1 230 ₽;25%;—;934 ₽;915 ₽;56 698 ₽;2 737;5,0;Да;Да
2025-08-15;45 шт;2 028;1 230 ₽;25%;—;934 ₽;915 ₽;41 475 ₽;2 727;5,0;Да;Да
2025-08-14;81 шт;2 052;1 230 ₽;26%;—;922 ₽;903 ₽;72 657 ₽;2 722;5,0;Да;Да
