Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;22 шт;260;2 600 ₽;78%;—;577 ₽;565 ₽;12 668 ₽;257;5,0;Да;Да
2025-09-15;57 шт;276;2 600 ₽;79%;—;567 ₽;555 ₽;31 605 ₽;255;5,0;Нет;Да
2025-09-14;29 шт;329;2 600 ₽;79%;—;567 ₽;555 ₽;16 443 ₽;255;5,0;Да;Да
2025-09-13;40 шт;357;2 600 ₽;79%;—;567 ₽;555 ₽;22 680 ₽;254;5,0;Да;Да
2025-09-12;27 шт;393;2 600 ₽;79%;—;567 ₽;555 ₽;14 376 ₽;254;5,0;Да;Да
2025-09-11;20 шт;415;2 600 ₽;77%;—;598 ₽;586 ₽;12 340 ₽;253;5,0;Да;Да
2025-09-10;15 шт;433;2 600 ₽;76%;—;638 ₽;625 ₽;9 684 ₽;251;5,0;Да;Да
2025-09-09;8 шт;335;2 600 ₽;76%;—;648 ₽;635 ₽;5 462 ₽;250;5,0;Да;Да
2025-09-08;13 шт;342;2 600 ₽;77%;—;618 ₽;605 ₽;8 126 ₽;249;5,0;Да;Да
2025-09-07;9 шт;471;2 600 ₽;76%;—;628 ₽;615 ₽;5 763 ₽;247;5,0;Да;Да
2025-09-06;1 шт;480;2 600 ₽;75%;—;659 ₽;645 ₽;836 ₽;245;5,0;Нет;Да
2025-09-05;3 шт;477;2 600 ₽;68%;—;836 ₽;819 ₽;2 691 ₽;245;5,0;Нет;Да
2025-09-04;2 шт;474;2 600 ₽;67%;—;865 ₽;847 ₽;1 730 ₽;244;5,0;Нет;Да
2025-09-03;10 шт;473;2 280 ₽;69%;—;711 ₽;696 ₽;6 337 ₽;242;5,0;Нет;Да
2025-09-02;12 шт;482;2 280 ₽;78%;—;524 ₽;513 ₽;6 342 ₽;241;5,0;Нет;Да
2025-09-01;6 шт;492;2 280 ₽;78%;—;524 ₽;513 ₽;3 189 ₽;239;5,0;Да;Да
2025-08-31;16 шт;495;2 280 ₽;77%;—;533 ₽;522 ₽;8 464 ₽;239;5,0;Да;Да
2025-08-30;6 шт;506;2 260 ₽;77%;—;528 ₽;517 ₽;3 724 ₽;239;5,0;Нет;Да
2025-08-29;7 шт;510;2 350 ₽;62%;—;916 ₽;897 ₽;5 677 ₽;238;5,0;Нет;Да
2025-08-28;8 шт;515;2 550 ₽;62%;—;994 ₽;974 ₽;5 767 ₽;238;5,0;Нет;Да
2025-08-27;7 шт;522;2 220 ₽;69%;—;692 ₽;678 ₽;5 964 ₽;237;5,0;Нет;Да
2025-08-26;16 шт;528;2 350 ₽;62%;—;916 ₽;897 ₽;12 781 ₽;237;5,0;Нет;Да
2025-08-25;6 шт;543;2 280 ₽;66%;—;782 ₽;766 ₽;4 656 ₽;236;5,0;Нет;Да
2025-08-24;2 шт;549;2 280 ₽;67%;—;773 ₽;757 ₽;1 546 ₽;235;5,0;Нет;Да
2025-08-23;5 шт;543;2 280 ₽;67%;—;773 ₽;757 ₽;3 865 ₽;234;5,0;Нет;Да
2025-08-22;10 шт;545;2 280 ₽;67%;—;773 ₽;757 ₽;7 730 ₽;233;5,0;Нет;Да
2025-08-21;10 шт;554;2 280 ₽;67%;—;773 ₽;757 ₽;7 730 ₽;233;5,0;Нет;Да
2025-08-20;12 шт;560;2 280 ₽;67%;—;773 ₽;757 ₽;9 231 ₽;232;5,0;Нет;Да
2025-08-19;7 шт;569;2 280 ₽;67%;—;755 ₽;739 ₽;5 084 ₽;231;5,0;Нет;Да
2025-08-18;12 шт;571;2 280 ₽;69%;—;720 ₽;705 ₽;8 623 ₽;231;5,0;Нет;Да
2025-08-17;6 шт;578;2 400 ₽;69%;—;748 ₽;733 ₽;3 338 ₽;229;5,0;Нет;Да
2025-08-16;7 шт;581;2 400 ₽;71%;—;710 ₽;695 ₽;4 961 ₽;229;5,0;Нет;Да
