Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-08-24;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;0;0,0;Нет;Нет
2025-08-20;0 шт;17;1 548 ₽;32%;—;1 065 ₽;1 043 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-12;0 шт;17;1 548 ₽;33%;—;1 040 ₽;1 019 ₽;0 ₽;1 269;5,0;Нет;Нет
2025-08-19;0 шт;17;1 548 ₽;33%;—;1 040 ₽;1 019 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-21;0 шт;17;1 548 ₽;33%;—;1 051 ₽;1 029 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-22;2 шт;15;1 548 ₽;33%;—;1 051 ₽;1 029 ₽;2 102 ₽;1 272;5,0;Нет;Да
2025-08-23;0 шт;15;1 548 ₽;33%;—;1 051 ₽;1 029 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-25;0 шт;15;1 548 ₽;33%;—;1 051 ₽;1 029 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-26;0 шт;15;1 548 ₽;33%;—;1 051 ₽;1 029 ₽;0 ₽;1 272;5,0;Нет;Да
2025-08-05;0 шт;17;1 548 ₽;34%;—;1 027 ₽;1 006 ₽;0 ₽;1 267;5,0;Нет;Нет
2025-08-13;0 шт;17;1 548 ₽;34%;—;1 027 ₽;1 006 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-09;0 шт;17;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-10;0 шт;17;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-11;0 шт;17;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-07-30;1 шт;17;1 548 ₽;35%;—;1 015 ₽;994 ₽;1 015 ₽;1 265;5,0;Нет;Нет
2025-08-18;0 шт;17;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 272;5,0;Нет;Нет
2025-07-11;0 шт;23;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 261;5,0;Нет;Нет
2025-07-13;0 шт;23;1 548 ₽;35%;—;1 015 ₽;994 ₽;0 ₽;1 261;5,0;Нет;Нет
2025-08-03;0 шт;17;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 267;5,0;Нет;Нет
2025-08-06;0 шт;17;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-07;0 шт;17;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-08;0 шт;17;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 270;5,0;Нет;Нет
2025-08-16;0 шт;17;1 548 ₽;36%;—;1 003 ₽;982 ₽;0 ₽;1 271;5,0;Нет;Да
2025-08-17;0 шт;17;1 548 ₽;36%;—;1 003 ₽;982 ₽;0 ₽;1 271;5,0;Нет;Да
2025-07-09;0 шт;23;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 261;5,0;Нет;Нет
2025-07-12;0 шт;23;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 261;5,0;Нет;Нет
2025-07-14;2 шт;21;1 548 ₽;36%;—;1 002 ₽;981 ₽;2 004 ₽;1 261;5,0;Нет;Нет
2025-07-15;0 шт;21;1 548 ₽;36%;—;1 002 ₽;981 ₽;0 ₽;1 262;5,0;Нет;Нет
2025-08-01;0 шт;17;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-08-02;0 шт;17;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 267;5,0;Нет;Нет
2025-08-04;0 шт;17;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 267;5,0;Нет;Нет
2025-07-19;0 шт;20;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 264;5,0;Нет;Нет
2025-07-20;1 шт;19;1 548 ₽;37%;—;989 ₽;969 ₽;989 ₽;1 264;5,0;Нет;Нет
2025-07-21;0 шт;19;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 264;5,0;Нет;Нет
2025-07-22;0 шт;19;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-23;0 шт;19;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-25;0 шт;19;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-26;0 шт;19;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-27;1 шт;18;1 548 ₽;37%;—;976 ₽;956 ₽;976 ₽;1 265;5,0;Нет;Нет
2025-08-14;0 шт;17;1 548 ₽;37%;—;990 ₽;970 ₽;0 ₽;1 270;5,0;Нет;Да
2025-07-29;0 шт;18;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-08-15;0 шт;17;1 548 ₽;37%;—;990 ₽;970 ₽;0 ₽;1 271;5,0;Нет;Да
2025-07-31;0 шт;17;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-08;2 шт;23;1 548 ₽;37%;—;976 ₽;956 ₽;1 304 ₽;1 256;5,0;Нет;Нет
2025-08-27;2 шт;13;1 548 ₽;37%;—;978 ₽;958 ₽;1 956 ₽;1 273;5,0;Нет;Да
2025-07-10;0 шт;23;1 548 ₽;37%;—;989 ₽;969 ₽;0 ₽;1 261;5,0;Нет;Нет
2025-07-16;0 шт;21;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 262;5,0;Нет;Нет
2025-07-17;0 шт;21;1 548 ₽;37%;—;976 ₽;956 ₽;0 ₽;1 262;5,0;Нет;Нет
2025-07-24;0 шт;19;1 548 ₽;38%;—;963 ₽;943 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-28;0 шт;18;1 548 ₽;38%;—;963 ₽;943 ₽;0 ₽;1 265;5,0;Нет;Нет
2025-07-18;1 шт;20;1 548 ₽;38%;—;963 ₽;943 ₽;963 ₽;1 264;5,0;Нет;Нет
2025-08-28;0 шт;13;1 548 ₽;39%;—;953 ₽;933 ₽;0 ₽;1 274;5,0;Нет;Да
2025-08-29;1 шт;12;1 548 ₽;39%;—;953 ₽;933 ₽;953 ₽;1 274;5,0;Нет;Да
2025-08-30;0 шт;12;1 548 ₽;39%;—;953 ₽;933 ₽;0 ₽;1 274;5,0;Нет;Да
2025-09-02;1 шт;4;1 548 ₽;45%;—;856 ₽;838 ₽;715 ₽;1 275;5,0;Нет;Да
2025-09-09;0 шт;100;1 548 ₽;47%;—;823 ₽;806 ₽;0 ₽;1 279;5,0;Нет;Нет
2025-04-14;4 шт;189;1 555 ₽;47%;—;826 ₽;809 ₽;3 244 ₽;1 212;5,0;Нет;Нет
2025-04-16;9 шт;174;1 555 ₽;47%;—;826 ₽;809 ₽;7 364 ₽;1 213;5,0;Нет;Да
2025-04-21;1 шт;164;1 555 ₽;47%;—;826 ₽;809 ₽;806 ₽;1 213;5,0;Нет;Да
2025-04-24;0 шт;159;1 555 ₽;47%;—;826 ₽;809 ₽;0 ₽;1 217;5,0;Нет;Да
2025-04-13;6 шт;193;1 555 ₽;48%;—;816 ₽;799 ₽;4 896 ₽;1 212;5,0;Нет;Нет
2025-04-22;0 шт;164;1 555 ₽;48%;—;816 ₽;799 ₽;0 ₽;1 217;5,0;Нет;Да
2025-04-25;3 шт;156;1 555 ₽;48%;—;816 ₽;799 ₽;2 448 ₽;1 217;5,0;Нет;Да
2025-04-26;3 шт;153;1 555 ₽;48%;—;816 ₽;799 ₽;2 448 ₽;1 217;5,0;Нет;Да
2025-04-27;1 шт;152;1 555 ₽;48%;—;816 ₽;799 ₽;816 ₽;1 218;5,0;Нет;Да
2025-04-29;2 шт;148;1 555 ₽;48%;—;816 ₽;799 ₽;1 632 ₽;1 218;5,0;Нет;Да
2025-04-11;0 шт;199;1 555 ₽;49%;—;796 ₽;780 ₽;0 ₽;1 209;5,0;Нет;Да
2025-04-12;0 шт;199;1 555 ₽;49%;—;806 ₽;789 ₽;0 ₽;1 209;5,0;Нет;Нет
2025-05-01;2 шт;144;1 555 ₽;49%;—;796 ₽;780 ₽;1 602 ₽;1 218;5,0;Нет;Да
2025-04-15;6 шт;183;1 555 ₽;49%;—;806 ₽;789 ₽;4 856 ₽;1 212;5,0;Нет;Да
2025-04-17;1 шт;173;1 555 ₽;49%;—;806 ₽;789 ₽;826 ₽;1 213;5,0;Нет;Да
2025-04-19;2 шт;169;1 555 ₽;49%;—;796 ₽;780 ₽;1 602 ₽;1 213;5,0;Нет;Да
2025-04-20;4 шт;165;1 555 ₽;49%;—;796 ₽;780 ₽;3 194 ₽;1 213;5,0;Нет;Да
2025-04-23;5 шт;159;1 555 ₽;49%;—;806 ₽;789 ₽;4 030 ₽;1 217;5,0;Нет;Нет
2025-04-28;2 шт;150;1 555 ₽;49%;—;806 ₽;789 ₽;1 612 ₽;1 218;5,0;Нет;Да
2025-09-04;1 шт;1;1 548 ₽;50%;—;780 ₽;764 ₽;845 ₽;1 276;5,0;Нет;Да
2025-05-02;1 шт;143;1 555 ₽;50%;—;786 ₽;770 ₽;826 ₽;1 218;5,0;Нет;Да
2025-05-04;1 шт;140;1 555 ₽;50%;—;786 ₽;770 ₽;786 ₽;1 219;5,0;Нет;Да
2025-04-18;2 шт;171;1 555 ₽;50%;—;786 ₽;770 ₽;1 592 ₽;1 213;5,0;Нет;Да
2024-12-22;2 шт;109;1 551 ₽;50%;—;764 ₽;748 ₽;1 528 ₽;1 119;5,0;Нет;Нет
2024-12-23;0 шт;187;1 551 ₽;50%;—;764 ₽;748 ₽;0 ₽;1 119;5,0;Нет;Нет
2024-12-25;0 шт;185;1 551 ₽;50%;—;764 ₽;748 ₽;0 ₽;1 119;5,0;Нет;Нет
2025-01-01;0 шт;425;1 551 ₽;50%;—;764 ₽;748 ₽;0 ₽;1 127;5,0;Нет;Нет
2024-12-26;6 шт;179;1 551 ₽;50%;—;764 ₽;748 ₽;4 584 ₽;1 120;5,0;Нет;Нет
2025-01-02;2 шт;423;1 551 ₽;50%;—;764 ₽;748 ₽;1 528 ₽;1 128;5,0;Нет;Нет
2024-12-27;2 шт;237;1 551 ₽;50%;—;764 ₽;748 ₽;1 528 ₽;1 120;5,0;Нет;Нет
2025-01-03;2 шт;421;1 551 ₽;50%;—;764 ₽;748 ₽;1 528 ₽;1 130;5,0;Нет;Нет
2024-12-28;4 шт;233;1 551 ₽;50%;—;764 ₽;748 ₽;3 056 ₽;1 120;5,0;Нет;Нет
2025-01-04;0 шт;421;1 551 ₽;50%;—;764 ₽;748 ₽;0 ₽;1 131;5,0;Нет;Нет
2024-12-29;5 шт;228;1 551 ₽;50%;—;764 ₽;748 ₽;3 820 ₽;1 123;5,0;Нет;Нет
2024-12-30;0 шт;228;1 551 ₽;50%;—;764 ₽;748 ₽;0 ₽;1 125;5,0;Нет;Нет
2024-12-31;1 шт;227;1 551 ₽;50%;—;764 ₽;748 ₽;764 ₽;1 127;5,0;Нет;Нет
2025-09-03;2 шт;2;1 548 ₽;51%;—;769 ₽;753 ₽;1 570 ₽;1 275;5,0;Нет;Да
2025-09-05;1 шт;0;1 548 ₽;51%;—;769 ₽;753 ₽;769 ₽;1 276;5,0;Нет;Нет
2025-09-06;0 шт;0;1 548 ₽;51%;—;769 ₽;753 ₽;0 ₽;1 276;5,0;Нет;Нет
2025-09-07;0 шт;0;1 548 ₽;51%;—;769 ₽;753 ₽;0 ₽;1 276;5,0;Нет;Нет
2025-09-08;0 шт;0;1 548 ₽;51%;—;769 ₽;753 ₽;0 ₽;1 277;5,0;Нет;Нет
2024-12-11;2 шт;61;1 551 ₽;51%;—;746 ₽;746 ₽;1 492 ₽;1 111;5,0;Нет;Нет
2024-12-13;2 шт;47;1 551 ₽;51%;—;746 ₽;731 ₽;1 492 ₽;1 112;5,0;Нет;Нет
2024-12-14;1 шт;46;1 551 ₽;51%;—;755 ₽;739 ₽;755 ₽;1 112;5,0;Нет;Нет
2024-12-15;4 шт;42;1 551 ₽;51%;—;755 ₽;739 ₽;3 020 ₽;1 114;5,0;Нет;Нет
2025-05-03;2 шт;141;1 555 ₽;51%;—;776 ₽;760 ₽;1 622 ₽;1 219;5,0;Нет;Да
2024-12-16;1 шт;41;1 551 ₽;51%;—;755 ₽;739 ₽;755 ₽;1 115;5,0;Нет;Нет
2024-12-17;4 шт;37;1 551 ₽;51%;—;746 ₽;731 ₽;2 984 ₽;1 115;5,0;Нет;Нет
2025-05-05;2 шт;138;1 555 ₽;51%;—;766 ₽;750 ₽;1 592 ₽;1 219;5,0;Нет;Да
2024-12-18;0 шт;37;1 551 ₽;51%;—;755 ₽;739 ₽;0 ₽;1 118;5,0;Нет;Нет
2024-12-19;2 шт;35;1 551 ₽;51%;—;755 ₽;739 ₽;1 510 ₽;1 118;5,0;Нет;Нет
2025-05-07;2 шт;132;1 555 ₽;51%;—;776 ₽;760 ₽;1 612 ₽;1 219;5,0;Нет;Да
2024-12-20;3 шт;111;1 551 ₽;51%;—;755 ₽;739 ₽;2 265 ₽;1 119;5,0;Нет;Нет
2025-05-08;2 шт;130;1 555 ₽;51%;—;766 ₽;750 ₽;1 652 ₽;1 221;5,0;Нет;Да
2024-12-21;0 шт;111;1 551 ₽;51%;—;755 ₽;739 ₽;0 ₽;1 119;5,0;Нет;Нет
2024-12-24;2 шт;185;1 551 ₽;51%;—;755 ₽;739 ₽;1 510 ₽;1 119;5,0;Нет;Нет
2025-04-30;2 шт;146;1 555 ₽;51%;—;776 ₽;760 ₽;1 602 ₽;1 218;5,0;Нет;Да
2025-09-10;2 шт;98;1 548 ₽;52%;—;758 ₽;742 ₽;1 516 ₽;1 279;5,0;Нет;Нет
2025-09-11;1 шт;97;1 548 ₽;52%;—;758 ₽;742 ₽;758 ₽;1 279;5,0;Нет;Нет
2025-09-12;1 шт;96;1 548 ₽;52%;—;758 ₽;742 ₽;758 ₽;1 279;5,0;Нет;Нет
2025-09-13;0 шт;96;1 548 ₽;52%;—;758 ₽;742 ₽;0 ₽;1 279;5,0;Нет;Нет
2025-09-14;0 шт;96;1 548 ₽;52%;—;758 ₽;742 ₽;0 ₽;1 279;5,0;Нет;Нет
2025-09-15;1 шт;95;1 548 ₽;52%;—;758 ₽;742 ₽;758 ₽;1 280;5,0;Нет;Нет
2025-03-14;5 шт;112;1 569 ₽;52%;—;768 ₽;752 ₽;3 754 ₽;1 185;5,0;Нет;Нет
2025-09-16;1 шт;94;1 548 ₽;52%;—;758 ₽;742 ₽;758 ₽;1 280;5,0;Нет;Нет
2025-02-02;5 шт;320;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 150;5,0;Нет;Да
2025-03-15;2 шт;110;1 569 ₽;52%;—;768 ₽;752 ₽;1 518 ₽;1 185;5,0;Нет;Нет
2024-12-01;4 шт;107;1 576 ₽;52%;—;743 ₽;743 ₽;2 972 ₽;1 095;5,0;Нет;Нет
2025-01-08;1 шт;415;1 564 ₽;52%;—;744 ₽;729 ₽;744 ₽;1 131;5,0;Нет;Нет
2025-02-03;5 шт;315;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 150;5,0;Нет;Нет
2025-03-16;3 шт;107;1 569 ₽;52%;—;768 ₽;752 ₽;2 304 ₽;1 185;5,0;Нет;Нет
2025-01-09;0 шт;415;1 564 ₽;52%;—;744 ₽;729 ₽;0 ₽;1 132;5,0;Нет;Нет
2025-02-04;3 шт;312;1 564 ₽;52%;—;744 ₽;729 ₽;2 232 ₽;1 151;5,0;Нет;Нет
2025-03-17;3 шт;104;1 569 ₽;52%;—;759 ₽;743 ₽;2 286 ₽;1 187;5,0;Нет;Нет
2025-01-10;4 шт;411;1 564 ₽;52%;—;744 ₽;729 ₽;2 976 ₽;1 134;5,0;Нет;Нет
2025-01-11;4 шт;407;1 564 ₽;52%;—;744 ₽;729 ₽;2 976 ₽;1 136;5,0;Нет;Нет
2025-02-06;3 шт;304;1 564 ₽;52%;—;744 ₽;729 ₽;2 232 ₽;1 153;5,0;Нет;Нет
2025-01-12;0 шт;407;1 564 ₽;52%;—;744 ₽;729 ₽;0 ₽;1 137;5,0;Нет;Нет
2025-01-13;5 шт;402;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 137;5,0;Нет;Нет
2025-01-14;2 шт;400;1 564 ₽;52%;—;744 ₽;729 ₽;1 488 ₽;1 137;5,0;Нет;Да
2024-12-10;4 шт;63;1 551 ₽;52%;—;737 ₽;737 ₽;2 948 ₽;1 110;5,0;Нет;Нет
2024-12-12;2 шт;49;1 551 ₽;52%;—;737 ₽;737 ₽;1 474 ₽;1 112;5,0;Нет;Нет
2025-01-19;3 шт;381;1 564 ₽;52%;—;744 ₽;729 ₽;2 232 ₽;1 140;5,0;Нет;Да
2025-01-20;5 шт;376;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 140;5,0;Нет;Да
2025-01-21;2 шт;374;1 564 ₽;52%;—;744 ₽;729 ₽;1 488 ₽;1 141;5,0;Нет;Да
2025-01-25;4 шт;357;1 564 ₽;52%;—;744 ₽;729 ₽;2 976 ₽;1 143;5,0;Нет;Да
2025-05-06;4 шт;134;1 555 ₽;52%;—;756 ₽;740 ₽;3 174 ₽;1 219;5,0;Нет;Да
2024-11-25;9 шт;43;1 576 ₽;52%;—;753 ₽;753 ₽;6 777 ₽;1 088;5,0;Нет;Нет
2025-01-29;5 шт;334;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 147;5,0;Нет;Да
2024-11-26;4 шт;40;1 576 ₽;52%;—;753 ₽;753 ₽;3 012 ₽;1 089;5,0;Нет;Нет
2025-01-30;5 шт;329;1 564 ₽;52%;—;744 ₽;729 ₽;3 720 ₽;1 147;5,0;Нет;Да
2024-11-27;1 шт;39;1 576 ₽;52%;—;743 ₽;743 ₽;743 ₽;1 090;5,0;Нет;Нет
2025-01-31;1 шт;328;1 564 ₽;52%;—;744 ₽;729 ₽;744 ₽;1 149;5,0;Нет;Да
2024-11-29;4 шт;33;1 576 ₽;52%;—;743 ₽;743 ₽;2 972 ₽;1 093;5,0;Нет;Нет
2024-11-30;1 шт;111;1 576 ₽;52%;—;743 ₽;743 ₽;743 ₽;1 094;5,0;Нет;Нет
2025-01-05;2 шт;419;1 564 ₽;52%;—;744 ₽;729 ₽;1 488 ₽;1 131;5,0;Нет;Нет
2025-01-06;1 шт;418;1 564 ₽;52%;—;744 ₽;729 ₽;744 ₽;1 131;5,0;Нет;Нет
2025-01-07;2 шт;416;1 564 ₽;52%;—;744 ₽;729 ₽;1 488 ₽;1 131;5,0;Нет;Нет
2025-02-01;3 шт;325;1 564 ₽;53%;—;735 ₽;720 ₽;2 205 ₽;1 149;5,0;Нет;Да
2024-12-02;13 шт;94;1 551 ₽;53%;—;719 ₽;719 ₽;9 347 ₽;1 097;5,0;Нет;Да
2025-04-03;8 шт;9;1 555 ₽;53%;—;735 ₽;720 ₽;5 745 ₽;1 200;5,0;Нет;Нет
2024-12-03;6 шт;88;1 551 ₽;53%;—;728 ₽;728 ₽;4 368 ₽;1 098;5,0;Нет;Нет
2025-03-18;3 шт;101;1 569 ₽;53%;—;749 ₽;734 ₽;2 267 ₽;1 188;5,0;Нет;Нет
2024-12-04;7 шт;81;1 551 ₽;53%;—;728 ₽;728 ₽;5 096 ₽;1 101;5,0;Нет;Нет
2024-12-05;3 шт;78;1 551 ₽;53%;—;728 ₽;728 ₽;2 184 ₽;1 104;5,0;Нет;Нет
2024-12-06;2 шт;76;1 551 ₽;53%;—;728 ₽;728 ₽;1 456 ₽;1 107;5,0;Нет;Нет
2024-12-07;5 шт;71;1 551 ₽;53%;—;728 ₽;728 ₽;3 640 ₽;1 107;5,0;Нет;Нет
2025-03-22;6 шт;83;1 555 ₽;53%;—;735 ₽;720 ₽;4 383 ₽;1 189;5,0;Нет;Да
2024-12-08;3 шт;68;1 551 ₽;53%;—;728 ₽;728 ₽;2 184 ₽;1 108;5,0;Нет;Нет
2025-01-15;4 шт;396;1 564 ₽;53%;—;735 ₽;720 ₽;2 940 ₽;1 138;5,0;Нет;Да
2025-02-10;3 шт;283;1 564 ₽;53%;—;735 ₽;720 ₽;2 205 ₽;1 156;5,0;Нет;Нет
2025-03-23;7 шт;76;1 555 ₽;53%;—;735 ₽;720 ₽;5 100 ₽;1 189;5,0;Нет;Да
2024-12-09;1 шт;67;1 551 ₽;53%;—;728 ₽;728 ₽;728 ₽;1 110;5,0;Нет;Нет
2025-01-16;4 шт;392;1 564 ₽;53%;—;735 ₽;720 ₽;2 940 ₽;1 140;5,0;Нет;Да
2025-03-24;7 шт;69;1 555 ₽;53%;—;735 ₽;720 ₽;5 023 ₽;1 190;5,0;Нет;Да
2025-01-17;4 шт;388;1 564 ₽;53%;—;735 ₽;720 ₽;2 940 ₽;1 140;5,0;Нет;Да
2025-02-12;4 шт;270;1 564 ₽;53%;—;726 ₽;711 ₽;2 904 ₽;1 157;5,0;Нет;Нет
2025-03-25;5 шт;64;1 555 ₽;53%;—;735 ₽;720 ₽;3 621 ₽;1 190;5,0;Нет;Да
2025-01-18;4 шт;384;1 564 ₽;53%;—;735 ₽;720 ₽;2 940 ₽;1 140;5,0;Нет;Да
2025-03-27;8 шт;49;1 555 ₽;53%;—;735 ₽;720 ₽;5 722 ₽;1 192;5,0;Нет;Да
2025-03-28;6 шт;43;1 555 ₽;53%;—;735 ₽;720 ₽;4 305 ₽;1 194;5,0;Нет;Да
2025-02-16;0 шт;252;1 564 ₽;53%;—;735 ₽;720 ₽;0 ₽;1 160;5,0;Нет;Нет
2025-03-29;5 шт;38;1 555 ₽;53%;—;735 ₽;720 ₽;3 613 ₽;1 195;5,0;Нет;Да
2025-01-23;4 шт;363;1 564 ₽;53%;—;735 ₽;720 ₽;2 940 ₽;1 141;5,0;Нет;Да
2025-02-18;7 шт;238;1 564 ₽;53%;—;735 ₽;720 ₽;5 145 ₽;1 162;5,0;Нет;Нет
2025-01-24;2 шт;361;1 564 ₽;53%;—;726 ₽;711 ₽;1 452 ₽;1 142;5,0;Нет;Да
2025-02-19;2 шт;236;1 564 ₽;53%;—;726 ₽;711 ₽;1 452 ₽;1 162;5,0;Нет;Нет
2025-03-01;2 шт;187;1 564 ₽;53%;—;726 ₽;711 ₽;1 452 ₽;1 172;5,0;Нет;Нет
2025-02-20;5 шт;231;1 564 ₽;53%;—;726 ₽;711 ₽;3 630 ₽;1 162;5,0;Нет;Нет
2025-01-26;2 шт;355;1 564 ₽;53%;—;735 ₽;720 ₽;1 470 ₽;1 143;5,0;Нет;Да
2025-02-21;2 шт;223;1 564 ₽;53%;—;735 ₽;720 ₽;1 470 ₽;1 163;5,0;Нет;Нет
2025-03-03;8 шт;173;1 564 ₽;53%;—;726 ₽;711 ₽;5 808 ₽;1 173;5,0;Нет;Нет
2025-01-27;7 шт;348;1 564 ₽;53%;—;726 ₽;711 ₽;5 082 ₽;1 145;5,0;Нет;Да
2025-03-04;3 шт;159;1 564 ₽;53%;—;726 ₽;711 ₽;2 178 ₽;1 174;5,0;Нет;Нет
2025-01-28;9 шт;339;1 564 ₽;53%;—;726 ₽;711 ₽;6 534 ₽;1 147;5,0;Нет;Да
2025-03-07;3 шт;146;1 564 ₽;53%;—;726 ₽;711 ₽;2 178 ₽;1 176;5,0;Нет;Нет
2025-02-26;7 шт;201;1 564 ₽;53%;—;726 ₽;711 ₽;5 082 ₽;1 170;5,0;Нет;Нет
2024-11-28;2 шт;37;1 576 ₽;53%;—;734 ₽;734 ₽;1 468 ₽;1 091;5,0;Нет;Нет
2025-03-09;6 шт;135;1 564 ₽;53%;—;726 ₽;711 ₽;4 356 ₽;1 180;5,0;Нет;Нет
2025-02-28;7 шт;189;1 564 ₽;53%;—;726 ₽;711 ₽;5 082 ₽;1 170;5,0;Нет;Нет
2025-03-10;3 шт;132;1 564 ₽;53%;—;726 ₽;711 ₽;2 178 ₽;1 180;5,0;Нет;Нет
2025-03-11;3 шт;129;1 564 ₽;53%;—;726 ₽;711 ₽;2 178 ₽;1 181;5,0;Нет;Нет
2025-09-01;6 шт;5;1 548 ₽;54%;—;715 ₽;700 ₽;4 306 ₽;1 274;5,0;Нет;Да
2025-03-13;6 шт;117;1 564 ₽;54%;—;726 ₽;711 ₽;4 340 ₽;1 185;5,0;Нет;Нет
2025-05-18;2 шт;90;1 549 ₽;54%;—;727 ₽;712 ₽;1 429 ₽;1 226;5,0;Нет;Да
2025-04-01;2 шт;26;1 555 ₽;54%;—;726 ₽;711 ₽;1 434 ₽;1 197;5,0;Нет;Да
2025-04-02;9 шт;17;1 555 ₽;54%;—;726 ₽;711 ₽;6 507 ₽;1 198;5,0;Нет;Да
2025-04-04;9 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;6 431 ₽;1 201;5,0;Нет;Да
2025-02-05;5 шт;307;1 564 ₽;54%;—;718 ₽;703 ₽;3 590 ₽;1 153;5,0;Нет;Нет
2025-04-05;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 202;5,0;Нет;Нет
2025-03-19;3 шт;98;1 555 ₽;54%;—;717 ₽;702 ₽;2 194 ₽;1 189;5,0;Нет;Нет
2025-04-06;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 204;5,0;Нет;Нет
2025-02-07;3 шт;301;1 564 ₽;54%;—;709 ₽;694 ₽;2 127 ₽;1 153;5,0;Нет;Нет
2025-04-07;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 204;5,0;Нет;Нет
2025-02-08;4 шт;297;1 564 ₽;54%;—;718 ₽;703 ₽;2 872 ₽;1 153;5,0;Нет;Нет
2025-04-08;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 205;5,0;Нет;Нет
2025-02-09;11 шт;286;1 564 ₽;54%;—;718 ₽;703 ₽;7 898 ₽;1 153;5,0;Нет;Нет
2025-04-09;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 206;5,0;Нет;Нет
2025-04-10;0 шт;0;1 555 ₽;54%;—;726 ₽;711 ₽;0 ₽;1 208;5,0;Нет;Нет
2025-02-11;9 шт;274;1 564 ₽;54%;—;709 ₽;694 ₽;6 381 ₽;1 156;5,0;Нет;Нет
2025-02-13;3 шт;267;1 564 ₽;54%;—;718 ₽;703 ₽;2 154 ₽;1 158;5,0;Нет;Нет
