Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-03-13;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 494;5,0;Нет;Нет
2025-03-14;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 497;5,0;Нет;Нет
2025-03-15;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 502;5,0;Нет;Нет
2025-03-16;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 505;5,0;Нет;Нет
2025-03-10;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 488;5,0;Нет;Нет
2025-03-11;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 490;5,0;Нет;Нет
2025-03-12;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;1 491;5,0;Нет;Нет
2025-06-27;0 шт;0;2 585 ₽;15%;—;2 223 ₽;2 178 ₽;0 ₽;916;5,0;Нет;Нет
2025-06-28;0 шт;0;2 585 ₽;15%;—;2 223 ₽;2 178 ₽;0 ₽;916;5,0;Нет;Нет
2025-06-26;0 шт;0;2 585 ₽;17%;—;2 171 ₽;2 127 ₽;0 ₽;916;5,0;Нет;Нет
2025-06-22;0 шт;0;2 585 ₽;18%;—;2 145 ₽;2 102 ₽;0 ₽;1 687;5,0;Нет;Нет
2025-06-23;0 шт;0;2 585 ₽;20%;—;2 093 ₽;2 051 ₽;0 ₽;1 687;5,0;Нет;Нет
2025-06-24;0 шт;0;2 585 ₽;20%;—;2 068 ₽;2 026 ₽;0 ₽;1 689;5,0;Нет;Нет
2025-06-25;0 шт;0;2 585 ₽;20%;—;2 068 ₽;2 026 ₽;0 ₽;916;5,0;Нет;Нет
2025-06-19;0 шт;0;2 585 ₽;22%;—;2 042 ₽;2 001 ₽;0 ₽;1 683;5,0;Нет;Нет
2025-06-20;0 шт;0;2 585 ₽;22%;—;2 042 ₽;2 001 ₽;0 ₽;1 685;5,0;Нет;Нет
2025-06-29;0 шт;360;2 585 ₽;22%;—;2 042 ₽;2 001 ₽;0 ₽;916;5,0;Нет;Нет
