Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;35 шт;457;2 200 ₽;72%;—;627 ₽;614 ₽;22 176 ₽;1 133;5,0;Да;Да
2025-09-15;28 шт;461;2 200 ₽;72%;—;616 ₽;603 ₽;18 293 ₽;1 123;5,0;Да;Да
2025-09-14;72 шт;467;2 200 ₽;70%;—;671 ₽;657 ₽;48 312 ₽;1 116;5,0;Да;Да
2025-09-13;51 шт;508;2 200 ₽;70%;—;671 ₽;657 ₽;33 341 ₽;1 110;5,0;Да;Да
2025-09-12;34 шт;480;2 200 ₽;72%;—;616 ₽;603 ₽;21 648 ₽;1 105;5,0;Да;Да
2025-09-11;59 шт;491;2 200 ₽;72%;—;616 ₽;603 ₽;41 558 ₽;1 101;5,0;Да;Да
2025-09-10;58 шт;523;2 200 ₽;66%;—;748 ₽;733 ₽;42 482 ₽;1 096;5,0;Да;Да
2025-09-09;68 шт;172;2 200 ₽;68%;—;704 ₽;689 ₽;49 302 ₽;1 092;5,0;Да;Да
2025-09-08;92 шт;581;2 200 ₽;70%;—;671 ₽;657 ₽;63 415 ₽;1 087;5,0;Да;Да
2025-09-07;96 шт;685;2 200 ₽;70%;—;671 ₽;657 ₽;65 912 ₽;1 081;5,0;Да;Да
2025-09-06;79 шт;752;2 200 ₽;68%;—;704 ₽;689 ₽;57 970 ₽;1 071;5,0;Да;Да
2025-09-05;58 шт;796;2 200 ₽;65%;—;770 ₽;754 ₽;47 707 ₽;1 067;5,0;Да;Да
2025-09-04;65 шт;831;2 200 ₽;62%;—;847 ₽;830 ₽;57 332 ₽;1 061;5,0;Да;Да
2025-09-03;56 шт;857;2 200 ₽;60%;—;880 ₽;862 ₽;44 550 ₽;1 056;5,0;Да;Да
2025-09-02;74 шт;887;2 200 ₽;71%;—;649 ₽;636 ₽;48 356 ₽;1 044;5,0;Да;Да
2025-09-01;82 шт;928;2 200 ₽;71%;—;649 ₽;636 ₽;53 812 ₽;1 041;5,0;Да;Да
2025-08-31;73 шт;988;2 200 ₽;70%;—;660 ₽;646 ₽;48 180 ₽;1 037;5,0;Да;Да
2025-08-30;64 шт;1 029;2 200 ₽;70%;—;660 ₽;646 ₽;48 411 ₽;1 029;5,0;Да;Да
2025-08-29;78 шт;1 060;2 200 ₽;65%;—;770 ₽;754 ₽;65 021 ₽;1 021;5,0;Да;Да
2025-08-28;69 шт;1 110;2 200 ₽;63%;—;825 ₽;808 ₽;58 685 ₽;1 012;5,0;Да;Да
2025-08-27;80 шт;1 137;2 200 ₽;63%;—;825 ₽;808 ₽;70 906 ₽;1 006;5,0;Да;Да
2025-08-26;56 шт;1 186;2 200 ₽;58%;—;924 ₽;905 ₽;51 744 ₽;1 002;5,0;Да;Да
2025-08-25;58 шт;1 207;2 200 ₽;58%;—;924 ₽;905 ₽;52 745 ₽;998;5,0;Да;Да
2025-08-24;65 шт;1 213;2 200 ₽;59%;—;902 ₽;883 ₽;58 630 ₽;990;5,0;Да;Да
2025-08-23;72 шт;1 255;2 200 ₽;59%;—;902 ₽;883 ₽;64 944 ₽;984;5,0;Да;Да
2025-08-22;46 шт;1 193;2 200 ₽;59%;—;902 ₽;883 ₽;41 756 ₽;983;5,0;Да;Да
2025-08-21;31 шт;574;2 200 ₽;59%;—;902 ₽;883 ₽;28 490 ₽;980;5,0;Да;Да
2025-08-20;28 шт;562;2 200 ₽;56%;—;990 ₽;970 ₽;25 806 ₽;978;5,0;Да;Да
2025-08-19;36 шт;556;2 200 ₽;56%;—;979 ₽;959 ₽;32 714 ₽;975;5,0;Да;Да
2025-08-18;27 шт;559;2 200 ₽;56%;—;979 ₽;959 ₽;24 222 ₽;969;5,0;Да;Да
2025-08-17;37 шт;563;2 200 ₽;57%;—;968 ₽;948 ₽;31 526 ₽;965;5,0;Да;Да
2025-08-16;31 шт;572;2 200 ₽;63%;—;825 ₽;808 ₽;25 938 ₽;961;5,0;Да;Да
2025-08-15;43 шт;571;2 200 ₽;63%;—;825 ₽;959 ₽;38 093 ₽;954;5,0;Да;Да
2025-08-14;54 шт;577;2 200 ₽;56%;—;979 ₽;959 ₽;43 362 ₽;948;5,0;Да;Да
2025-08-13;48 шт;592;2 200 ₽;64%;—;803 ₽;959 ₽;38 544 ₽;943;5,0;Да;Да
2025-08-12;53 шт;603;2 200 ₽;64%;—;803 ₽;959 ₽;42 559 ₽;941;5,0;Да;Да
2025-08-11;54 шт;616;2 200 ₽;56%;—;979 ₽;959 ₽;43 362 ₽;934;5,0;Да;Да
2025-08-10;57 шт;633;2 200 ₽;64%;—;803 ₽;786 ₽;45 771 ₽;925;5,0;Да;Да
2025-08-09;53 шт;655;2 200 ₽;64%;—;803 ₽;786 ₽;42 559 ₽;916;5,0;Да;Да
2025-08-08;57 шт;666;2 200 ₽;64%;—;803 ₽;786 ₽;45 771 ₽;909;5,0;Да;Да
2025-08-07;70 шт;682;2 200 ₽;64%;—;803 ₽;797 ₽;56 210 ₽;901;5,0;Да;Да
2025-08-06;75 шт;695;2 200 ₽;64%;—;803 ₽;797 ₽;60 225 ₽;895;5,0;Да;Да
2025-08-05;67 шт;724;2 200 ₽;64%;—;803 ₽;797 ₽;53 801 ₽;886;5,0;Да;Да
2025-08-04;63 шт;755;2 200 ₽;64%;—;803 ₽;776 ₽;50 589 ₽;877;5,0;Да;Да
2025-08-03;53 шт;775;2 200 ₽;64%;—;803 ₽;776 ₽;42 559 ₽;873;5,0;Да;Да
2025-08-02;74 шт;791;2 200 ₽;64%;—;803 ₽;776 ₽;59 422 ₽;868;5,0;Да;Да
2025-08-01;66 шт;819;2 200 ₽;64%;—;803 ₽;765 ₽;53 207 ₽;861;5,0;Да;Да
2025-07-31;70 шт;845;2 200 ₽;65%;—;770 ₽;754 ₽;55 000 ₽;852;5,0;Да;Да
2025-07-30;65 шт;871;2 200 ₽;64%;—;803 ₽;786 ₽;52 591 ₽;849;5,0;Да;Да
2025-07-29;67 шт;896;2 200 ₽;65%;—;781 ₽;765 ₽;53 207 ₽;841;5,0;Да;Да
2025-07-28;66 шт;921;2 200 ₽;65%;—;770 ₽;754 ₽;52 019 ₽;835;5,0;Да;Да
2025-07-27;69 шт;937;2 200 ₽;64%;—;792 ₽;776 ₽;55 440 ₽;829;5,0;Да;Да
2025-07-26;67 шт;967;2 200 ₽;65%;—;781 ₽;765 ₽;53 350 ₽;825;5,0;Да;Да
2025-07-25;84 шт;987;2 200 ₽;66%;—;759 ₽;743 ₽;66 154 ₽;814;5,0;Да;Да
2025-07-24;67 шт;1 023;2 200 ₽;65%;—;781 ₽;765 ₽;53 207 ₽;804;5,0;Да;Да
2025-07-23;89 шт;1 047;2 200 ₽;64%;—;803 ₽;786 ₽;71 577 ₽;795;5,0;Да;Да
2025-07-22;89 шт;1 089;2 200 ₽;65%;—;781 ₽;765 ₽;70 532 ₽;778;5,0;Да;Да
2025-07-21;108 шт;1 128;2 200 ₽;64%;—;792 ₽;776 ₽;86 185 ₽;777;5,0;Да;Да
2025-07-20;125 шт;1 170;2 200 ₽;64%;—;792 ₽;776 ₽;100 386 ₽;767;5,0;Да;Да
2025-07-19;88 шт;1 244;2 200 ₽;65%;—;781 ₽;765 ₽;70 004 ₽;760;5,0;Да;Да
2025-07-18;114 шт;1 268;2 200 ₽;65%;—;770 ₽;754 ₽;89 914 ₽;0;0,0;Да;Да
2025-07-17;142 шт;1 321;2 200 ₽;65%;—;781 ₽;765 ₽;112 453 ₽;749;5,0;Да;Да
2025-07-16;104 шт;1 409;2 200 ₽;64%;—;792 ₽;776 ₽;83 534 ₽;749;5,0;Да;Да
2025-07-15;121 шт;1 452;2 200 ₽;64%;—;803 ₽;786 ₽;97 537 ₽;743;5,0;Да;Да
2025-07-14;83 шт;725;2 200 ₽;64%;—;803 ₽;786 ₽;67 221 ₽;736;5,0;Да;Да
2025-07-13;92 шт;649;2 200 ₽;64%;—;792 ₽;776 ₽;74 228 ₽;727;5,0;Да;Да
2025-07-12;93 шт;705;2 200 ₽;64%;—;803 ₽;786 ₽;75 141 ₽;721;5,0;Да;Да
2025-07-11;124 шт;727;2 200 ₽;63%;—;814 ₽;797 ₽;100 177 ₽;715;5,0;Да;Да
2025-07-10;105 шт;800;2 200 ₽;65%;—;781 ₽;765 ₽;83 765 ₽;708;5,0;Да;Да
2025-07-09;159 шт;848;2 200 ₽;65%;—;781 ₽;765 ₽;108 630 ₽;703;5,0;Да;Да
2025-07-08;136 шт;951;2 200 ₽;64%;—;792 ₽;776 ₽;109 329 ₽;684;5,0;Да;Да
2025-07-07;139 шт;1 017;2 200 ₽;64%;—;792 ₽;776 ₽;105 080 ₽;682;5,0;Да;Да
2025-07-06;140 шт;1 100;2 200 ₽;71%;—;649 ₽;636 ₽;101 316 ₽;664;5,0;Да;Да
2025-07-05;71 шт;1 202;2 200 ₽;64%;—;812 ₽;795 ₽;56 741 ₽;664;5,0;Да;Да
2025-07-04;48 шт;135;2 200 ₽;61%;—;868 ₽;719 ₽;38 534 ₽;663;5,0;Да;Да
2025-07-03;56 шт;134;2 200 ₽;62%;—;847 ₽;830 ₽;43 920 ₽;659;5,0;Да;Да
2025-07-02;36 шт;133;2 200 ₽;62%;—;847 ₽;830 ₽;29 415 ₽;654;5,0;Да;Да
2025-07-01;47 шт;133;2 200 ₽;63%;—;829 ₽;812 ₽;37 779 ₽;649;5,0;Да;Да
2025-06-30;52 шт;141;2 200 ₽;67%;—;728 ₽;812 ₽;40 905 ₽;639;5,0;Да;Да
