Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;2 шт;314;2 200 ₽;37%;—;1 386 ₽;1 358 ₽;2 772 ₽;262;5,0;Да;Да
2025-09-15;5 шт;314;2 200 ₽;37%;—;1 386 ₽;1 358 ₽;3 898 ₽;261;5,0;Нет;Да
2025-09-14;2 шт;317;2 200 ₽;52%;—;1 056 ₽;1 034 ₽;2 112 ₽;261;5,0;Нет;Да
2025-09-13;4 шт;319;2 200 ₽;52%;—;1 056 ₽;1 034 ₽;4 620 ₽;260;5,0;Нет;Да
2025-09-12;3 шт;322;2 200 ₽;46%;—;1 188 ₽;1 164 ₽;3 041 ₽;258;5,0;Нет;Да
2025-09-11;4 шт;323;2 200 ₽;66%;—;765 ₽;749 ₽;3 150 ₽;258;5,0;Нет;Да
2025-09-10;2 шт;327;2 200 ₽;64%;—;803 ₽;786 ₽;1 619 ₽;257;5,0;Нет;Да
2025-09-09;28 шт;73;2 200 ₽;64%;—;803 ₽;786 ₽;24 238 ₽;256;5,0;Нет;Да
2025-09-08;7 шт;326;2 200 ₽;66%;—;752 ₽;736 ₽;5 648 ₽;256;5,0;Нет;Да
2025-09-07;3 шт;330;2 200 ₽;66%;—;765 ₽;749 ₽;2 295 ₽;256;5,0;Нет;Да
2025-09-06;0 шт;254;2 200 ₽;64%;—;803 ₽;786 ₽;0 ₽;255;5,0;Да;Да
2025-09-05;3 шт;249;2 200 ₽;59%;—;921 ₽;902 ₽;2 919 ₽;254;5,0;Да;Да
2025-09-04;1 шт;252;2 200 ₽;53%;—;1 038 ₽;1 017 ₽;1 038 ₽;254;5,0;Да;Да
2025-09-03;4 шт;250;2 200 ₽;53%;—;1 038 ₽;1 017 ₽;3 970 ₽;254;5,0;Да;Да
2025-09-02;5 шт;254;2 200 ₽;66%;—;765 ₽;749 ₽;3 851 ₽;253;5,0;Да;Да
2025-09-01;5 шт;258;2 200 ₽;66%;—;765 ₽;749 ₽;3 838 ₽;253;5,0;Нет;Да
2025-08-31;3 шт;261;2 200 ₽;65%;—;778 ₽;762 ₽;2 334 ₽;253;5,0;Нет;Да
2025-08-30;3 шт;264;2 200 ₽;57%;—;954 ₽;934 ₽;2 862 ₽;252;5,0;Да;Да
2025-08-29;0 шт;266;2 200 ₽;54%;—;1 023 ₽;1 002 ₽;0 ₽;251;5,0;Да;Да
2025-08-28;1 шт;264;2 200 ₽;54%;—;1 023 ₽;1 002 ₽;1 023 ₽;251;5,0;Да;Да
2025-08-27;7 шт;261;2 200 ₽;54%;—;1 023 ₽;1 002 ₽;7 771 ₽;251;5,0;Да;Да
2025-08-26;5 шт;266;2 200 ₽;48%;—;1 145 ₽;1 122 ₽;5 725 ₽;250;5,0;Да;Да
2025-08-25;3 шт;269;2 200 ₽;49%;—;1 132 ₽;1 109 ₽;3 396 ₽;250;5,0;Да;Да
2025-08-24;2 шт;270;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;2 236 ₽;250;5,0;Да;Да
2025-08-23;3 шт;271;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;3 354 ₽;250;5,0;Да;Да
2025-08-22;6 шт;273;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;6 708 ₽;249;5,0;Да;Да
2025-08-21;3 шт;274;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;3 354 ₽;249;5,0;Да;Да
2025-08-20;4 шт;276;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;4 472 ₽;247;5,0;Да;Да
2025-08-19;0 шт;280;2 200 ₽;52%;—;1 063 ₽;1 041 ₽;0 ₽;244;5,0;Да;Да
2025-08-18;4 шт;280;2 200 ₽;53%;—;1 036 ₽;1 015 ₽;4 118 ₽;244;5,0;Да;Да
2025-08-17;11 шт;282;2 200 ₽;68%;—;709 ₽;694 ₽;7 799 ₽;242;5,0;Нет;Да
2025-08-16;7 шт;290;2 200 ₽;55%;—;1 006 ₽;985 ₽;7 042 ₽;239;5,0;Нет;Да
2025-08-15;5 шт;293;2 200 ₽;55%;—;1 006 ₽;985 ₽;4 987 ₽;239;5,0;Нет;Да
2025-08-14;6 шт;296;2 200 ₽;59%;—;911 ₽;892 ₽;5 778 ₽;239;5,0;Нет;Да
2025-08-13;3 шт;300;2 200 ₽;55%;—;1 009 ₽;988 ₽;2 889 ₽;239;5,0;Да;Да
2025-08-12;7 шт;297;2 200 ₽;55%;—;1 009 ₽;988 ₽;6 741 ₽;239;5,0;Да;Да
2025-08-11;7 шт;302;2 200 ₽;57%;—;963 ₽;988 ₽;6 741 ₽;239;5,0;Да;Да
2025-08-10;3 шт;205;2 200 ₽;63%;—;819 ₽;802 ₽;2 889 ₽;239;5,0;Нет;Да
2025-08-09;3 шт;207;2 200 ₽;55%;—;995 ₽;975 ₽;2 889 ₽;238;5,0;Нет;Да
2025-08-08;7 шт;208;2 200 ₽;55%;—;995 ₽;975 ₽;6 741 ₽;238;5,0;Да;Да
2025-08-07;11 шт;213;2 200 ₽;55%;—;1 009 ₽;988 ₽;10 593 ₽;238;5,0;Да;Да
2025-08-06;6 шт;218;2 200 ₽;57%;—;963 ₽;988 ₽;5 778 ₽;238;5,0;Да;Да
2025-08-05;3 шт;223;2 200 ₽;55%;—;1 009 ₽;988 ₽;2 889 ₽;238;5,0;Нет;Да
2025-08-04;3 шт;219;2 200 ₽;56%;—;982 ₽;962 ₽;2 889 ₽;235;5,0;Да;Да
2025-08-03;7 шт;220;2 200 ₽;56%;—;982 ₽;962 ₽;6 741 ₽;235;5,0;Да;Да
