Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;2 шт;247;2 200 ₽;45%;—;1 227 ₽;1 202 ₽;2 454 ₽;202;5,0;Да;Да
2025-09-15;2 шт;248;2 200 ₽;45%;—;1 227 ₽;1 202 ₽;2 454 ₽;201;5,0;Нет;Да
2025-09-14;1 шт;249;2 200 ₽;52%;—;1 056 ₽;1 034 ₽;1 056 ₽;200;5,0;Нет;Да
2025-09-13;0 шт;248;2 200 ₽;52%;—;1 056 ₽;1 034 ₽;0 ₽;198;5,0;Нет;Да
2025-09-12;11 шт;248;2 200 ₽;46%;—;1 188 ₽;1 164 ₽;13 068 ₽;196;5,0;Нет;Да
2025-09-11;0 шт;257;2 200 ₽;66%;—;765 ₽;749 ₽;0 ₽;196;5,0;Нет;Да
2025-09-10;4 шт;254;2 200 ₽;64%;—;803 ₽;786 ₽;3 212 ₽;196;5,0;Нет;Да
2025-09-09;28 шт;48;2 200 ₽;64%;—;803 ₽;786 ₽;24 174 ₽;195;5,0;Нет;Да
2025-09-08;1 шт;214;2 200 ₽;66%;—;752 ₽;736 ₽;816 ₽;195;5,0;Нет;Да
2025-09-07;7 шт;214;2 200 ₽;66%;—;765 ₽;749 ₽;5 420 ₽;195;5,0;Нет;Да
2025-09-06;3 шт;170;2 200 ₽;64%;—;803 ₽;786 ₽;2 373 ₽;195;5,0;Да;Да
2025-09-05;1 шт;171;2 200 ₽;59%;—;921 ₽;902 ₽;1 077 ₽;195;5,0;Да;Да
2025-09-04;1 шт;140;2 200 ₽;53%;—;1 038 ₽;1 017 ₽;1 038 ₽;195;5,0;Да;Да
2025-09-03;0 шт;141;2 200 ₽;57%;—;947 ₽;928 ₽;0 ₽;195;5,0;Да;Да
2025-09-02;4 шт;141;2 200 ₽;66%;—;765 ₽;749 ₽;3 112 ₽;194;5,0;Да;Да
2025-09-01;2 шт;145;2 200 ₽;66%;—;765 ₽;749 ₽;1 530 ₽;191;5,0;Нет;Да
2025-08-31;0 шт;146;2 200 ₽;65%;—;778 ₽;762 ₽;0 ₽;190;5,0;Нет;Да
2025-08-30;3 шт;144;2 200 ₽;60%;—;886 ₽;868 ₽;2 862 ₽;188;5,0;Да;Да
2025-08-29;1 шт;147;2 200 ₽;54%;—;1 023 ₽;1 002 ₽;1 023 ₽;188;5,0;Да;Да
2025-08-28;2 шт;145;2 200 ₽;54%;—;1 023 ₽;1 002 ₽;2 046 ₽;187;5,0;Да;Да
2025-08-27;4 шт;146;2 200 ₽;51%;—;1 091 ₽;1 069 ₽;4 580 ₽;187;5,0;Да;Да
2025-08-26;1 шт;148;2 200 ₽;48%;—;1 145 ₽;1 122 ₽;1 145 ₽;187;5,0;Да;Да
2025-08-25;3 шт;145;2 200 ₽;49%;—;1 132 ₽;1 109 ₽;3 396 ₽;187;5,0;Да;Да
2025-08-24;0 шт;147;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;0 ₽;187;5,0;Нет;Да
2025-08-23;7 шт;147;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;7 826 ₽;187;5,0;Да;Да
2025-08-22;1 шт;153;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;1 118 ₽;186;5,0;Да;Да
2025-08-21;6 шт;149;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;6 708 ₽;186;5,0;Да;Да
2025-08-20;4 шт;151;2 200 ₽;50%;—;1 118 ₽;1 095 ₽;4 458 ₽;186;5,0;Да;Да
2025-08-19;2 шт;150;2 200 ₽;51%;—;1 091 ₽;1 069 ₽;2 141 ₽;186;5,0;Да;Да
2025-08-18;12 шт;144;2 200 ₽;53%;—;1 036 ₽;1 015 ₽;11 059 ₽;186;5,0;Да;Да
2025-08-17;8 шт;155;2 200 ₽;68%;—;709 ₽;694 ₽;5 672 ₽;186;5,0;Нет;Да
2025-08-16;1 шт;162;2 200 ₽;55%;—;1 006 ₽;985 ₽;1 006 ₽;186;5,0;Нет;Да
2025-08-15;3 шт;163;2 200 ₽;55%;—;1 006 ₽;985 ₽;3 018 ₽;186;5,0;Нет;Да
2025-08-14;5 шт;164;2 200 ₽;59%;—;911 ₽;892 ₽;4 815 ₽;186;5,0;Нет;Да
2025-08-13;1 шт;166;2 200 ₽;55%;—;1 009 ₽;988 ₽;963 ₽;186;5,0;Да;Да
2025-08-12;7 шт;166;2 200 ₽;55%;—;1 009 ₽;988 ₽;6 741 ₽;186;5,0;Да;Да
2025-08-11;6 шт;170;2 200 ₽;55%;—;1 009 ₽;988 ₽;5 778 ₽;186;5,0;Да;Да
2025-08-10;4 шт;123;2 200 ₽;63%;—;819 ₽;802 ₽;3 852 ₽;186;5,0;Нет;Да
2025-08-09;2 шт;126;2 200 ₽;55%;—;995 ₽;975 ₽;1 926 ₽;186;5,0;Нет;Да
2025-08-08;4 шт;123;2 200 ₽;55%;—;995 ₽;975 ₽;3 852 ₽;185;5,0;Да;Да
2025-08-07;6 шт;125;2 200 ₽;55%;—;1 009 ₽;988 ₽;5 778 ₽;185;5,0;Да;Да
2025-08-06;2 шт;130;2 200 ₽;55%;—;1 009 ₽;988 ₽;1 926 ₽;183;5,0;Да;Да
2025-08-05;2 шт;131;2 200 ₽;55%;—;1 009 ₽;988 ₽;1 926 ₽;183;5,0;Нет;Да
2025-08-04;2 шт;129;2 200 ₽;56%;—;982 ₽;962 ₽;1 926 ₽;182;5,0;Да;Да
2025-08-03;5 шт;126;2 200 ₽;56%;—;982 ₽;962 ₽;4 815 ₽;182;5,0;Да;Да
2025-08-02;6 шт;129;2 200 ₽;57%;—;950 ₽;931 ₽;5 778 ₽;182;5,0;Да;Да
