Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;0 шт;58;1 870 ₽;63%;—;703 ₽;688 ₽;0 ₽;67;5,0;Нет;Да
2025-09-15;17 шт;55;1 870 ₽;63%;—;703 ₽;688 ₽;7 900 ₽;67;5,0;Нет;Да
2025-09-14;11 шт;92;1 578 ₽;70%;—;486 ₽;476 ₽;5 346 ₽;66;5,0;Нет;Да
2025-09-13;8 шт;100;1 578 ₽;70%;—;486 ₽;476 ₽;3 974 ₽;65;5,0;Нет;Да
2025-09-12;6 шт;103;1 578 ₽;67%;—;529 ₽;518 ₽;3 030 ₽;65;5,0;Нет;Да
2025-09-11;12 шт;106;1 578 ₽;67%;—;529 ₽;518 ₽;6 440 ₽;63;5,0;Нет;Да
2025-09-10;13 шт;114;1 578 ₽;66%;—;546 ₽;535 ₽;7 143 ₽;63;5,0;Да;Да
2025-09-09;16 шт;127;1 578 ₽;66%;—;546 ₽;535 ₽;9 161 ₽;63;5,0;Да;Да
2025-09-08;13 шт;138;1 578 ₽;68%;—;512 ₽;501 ₽;6 724 ₽;63;5,0;Да;Да
2025-09-07;15 шт;150;1 578 ₽;68%;—;512 ₽;501 ₽;7 875 ₽;63;5,0;Да;Да
2025-09-06;10 шт;165;1 578 ₽;66%;—;538 ₽;527 ₽;4 920 ₽;63;5,0;Да;Да
2025-09-05;6 шт;173;5 500 ₽;89%;—;616 ₽;603 ₽;3 789 ₽;63;5,0;Да;Да
2025-09-04;5 шт;179;5 500 ₽;88%;—;677 ₽;663 ₽;2 378 ₽;63;5,0;Да;Да
2025-09-03;10 шт;183;5 060 ₽;86%;—;728 ₽;713 ₽;6 553 ₽;62;5,0;Да;Да
2025-09-02;10 шт;193;5 060 ₽;90%;—;537 ₽;526 ₽;5 397 ₽;61;5,0;Да;Да
2025-09-01;4 шт;203;5 060 ₽;90%;—;537 ₽;526 ₽;2 184 ₽;60;5,0;Да;Да
2025-08-31;1 шт;207;5 060 ₽;90%;—;546 ₽;535 ₽;546 ₽;59;5,0;Да;Да
2025-08-30;0 шт;208;4 555 ₽;87%;—;637 ₽;624 ₽;0 ₽;59;5,0;Да;Да
2025-08-29;0 шт;205;4 750 ₽;80%;—;950 ₽;931 ₽;0 ₽;59;5,0;Нет;Да
2025-08-28;4 шт;205;4 352 ₽;86%;—;652 ₽;638 ₽;2 608 ₽;59;5,0;Нет;Да
2025-08-27;4 шт;207;4 352 ₽;84%;—;731 ₽;716 ₽;3 032 ₽;59;5,0;Нет;Да
2025-08-26;2 шт;205;4 352 ₽;83%;—;767 ₽;751 ₽;1 534 ₽;59;5,0;Нет;Да
2025-08-25;1 шт;206;4 352 ₽;83%;—;767 ₽;751 ₽;749 ₽;59;5,0;Нет;Да
2025-08-24;6 шт;207;4 352 ₽;83%;—;749 ₽;734 ₽;4 494 ₽;59;5,0;Нет;Да
2025-08-23;6 шт;213;4 352 ₽;83%;—;749 ₽;734 ₽;4 494 ₽;59;5,0;Нет;Да
2025-08-22;10 шт;217;4 352 ₽;83%;—;749 ₽;734 ₽;7 490 ₽;59;5,0;Нет;Да
2025-08-21;4 шт;224;4 352 ₽;83%;—;749 ₽;734 ₽;2 996 ₽;59;5,0;Нет;Да
2025-08-20;1 шт;226;4 352 ₽;82%;—;785 ₽;769 ₽;775 ₽;58;5,0;Нет;Да
2025-08-19;3 шт;223;4 352 ₽;83%;—;765 ₽;749 ₽;2 219 ₽;57;5,0;Нет;Да
2025-08-18;7 шт;224;4 352 ₽;84%;—;727 ₽;712 ₽;5 044 ₽;57;5,0;Нет;Да
2025-08-17;7 шт;229;4 352 ₽;84%;—;718 ₽;703 ₽;5 026 ₽;57;5,0;Нет;Да
2025-08-16;9 шт;231;4 352 ₽;83%;—;750 ₽;735 ₽;6 730 ₽;57;5,0;Нет;Да
2025-08-15;2 шт;237;4 352 ₽;83%;—;750 ₽;735 ₽;1 500 ₽;57;5,0;Нет;Да
2025-08-14;4 шт;237;4 352 ₽;83%;—;740 ₽;725 ₽;3 212 ₽;57;5,0;Да;Да
2025-08-13;7 шт;239;3 962 ₽;81%;—;762 ₽;746 ₽;5 621 ₽;57;5,0;Да;Да
2025-08-12;10 шт;241;3 962 ₽;81%;—;762 ₽;746 ₽;8 030 ₽;56;5,0;Да;Да
2025-08-11;18 шт;251;3 794 ₽;79%;—;803 ₽;746 ₽;14 454 ₽;55;5,0;Да;Да
2025-08-10;10 шт;266;3 965 ₽;82%;—;752 ₽;736 ₽;8 030 ₽;52;5,0;Да;Да
2025-08-09;7 шт;271;4 000 ₽;82%;—;759 ₽;743 ₽;5 621 ₽;50;5,0;Да;Да
2025-08-08;16 шт;274;4 000 ₽;82%;—;759 ₽;743 ₽;12 848 ₽;50;5,0;Да;Да
2025-08-07;21 шт;289;3 794 ₽;81%;—;729 ₽;714 ₽;16 863 ₽;49;5,0;Да;Да
2025-08-06;1 шт;308;3 794 ₽;81%;—;758 ₽;742 ₽;803 ₽;48;5,0;Да;Да
2025-08-05;4 шт;307;3 794 ₽;81%;—;758 ₽;742 ₽;3 212 ₽;48;5,0;Нет;Да
2025-08-04;6 шт;309;3 794 ₽;81%;—;737 ₽;722 ₽;4 818 ₽;47;5,0;Да;Да
2025-08-03;6 шт;310;3 794 ₽;81%;—;737 ₽;722 ₽;4 818 ₽;47;5,0;Да;Да
2025-08-02;1 шт;315;3 794 ₽;80%;—;792 ₽;776 ₽;803 ₽;45;5,0;Да;Да
2025-08-01;6 шт;314;3 794 ₽;80%;—;781 ₽;765 ₽;4 840 ₽;45;5,0;Да;Да
2025-07-31;7 шт;320;3 794 ₽;80%;—;770 ₽;754 ₽;5 584 ₽;40;5,0;Да;Да
2025-07-30;1 шт;327;3 639 ₽;76%;—;876 ₽;858 ₽;876 ₽;39;5,0;Да;Да
2025-07-29;4 шт;328;3 639 ₽;77%;—;852 ₽;834 ₽;3 432 ₽;39;5,0;Да;Да
2025-07-28;5 шт;328;3 639 ₽;77%;—;840 ₽;823 ₽;4 296 ₽;39;5,0;Да;Да
2025-07-27;3 шт;329;3 639 ₽;77%;—;864 ₽;846 ₽;2 628 ₽;39;5,0;Да;Да
2025-07-26;5 шт;332;3 639 ₽;77%;—;852 ₽;834 ₽;4 320 ₽;39;5,0;Да;Да
2025-07-25;8 шт;334;3 639 ₽;78%;—;828 ₽;811 ₽;6 840 ₽;37;5,0;Да;Да
2025-07-24;8 шт;336;3 639 ₽;77%;—;852 ₽;834 ₽;6 900 ₽;37;5,0;Да;Да
2025-07-23;9 шт;340;3 639 ₽;77%;—;864 ₽;846 ₽;7 944 ₽;35;5,0;Да;Да
2025-07-22;4 шт;347;3 639 ₽;77%;—;852 ₽;834 ₽;3 480 ₽;35;5,0;Да;Да
2025-07-21;3 шт;345;3 639 ₽;77%;—;864 ₽;846 ₽;2 592 ₽;34;5,0;Нет;Да
2025-07-20;7 шт;342;3 639 ₽;77%;—;864 ₽;846 ₽;4 959 ₽;34;5,0;Нет;Да
2025-07-19;4 шт;347;2 668 ₽;69%;—;852 ₽;834 ₽;3 468 ₽;32;5,0;Нет;Да
2025-07-18;5 шт;348;2 668 ₽;69%;—;840 ₽;823 ₽;4 224 ₽;31;5,0;Нет;Да
2025-07-17;7 шт;350;2 668 ₽;69%;—;852 ₽;834 ₽;6 060 ₽;27;5,0;Нет;Да
2025-07-16;6 шт;343;2 668 ₽;68%;—;864 ₽;846 ₽;5 280 ₽;27;5,0;Нет;Да
2025-07-15;5 шт;345;2 668 ₽;68%;—;876 ₽;858 ₽;4 380 ₽;26;5,0;Да;Да
2025-07-14;5 шт;347;2 668 ₽;68%;—;876 ₽;858 ₽;4 316 ₽;26;5,0;Да;Да
2025-07-13;13 шт;345;2 500 ₽;66%;—;864 ₽;846 ₽;11 388 ₽;26;5,0;Да;Да
2025-07-12;4 шт;355;2 500 ₽;65%;—;876 ₽;858 ₽;3 540 ₽;25;5,0;Нет;Да
2025-07-11;14 шт;358;2 500 ₽;65%;—;888 ₽;870 ₽;11 708 ₽;25;5,0;Да;Да
2025-07-10;11 шт;372;2 000 ₽;58%;—;852 ₽;834 ₽;9 576 ₽;25;5,0;Да;Да
2025-07-09;7 шт;375;2 000 ₽;58%;—;852 ₽;834 ₽;5 894 ₽;24;5,0;Да;Да
2025-07-08;20 шт;375;2 000 ₽;57%;—;864 ₽;846 ₽;17 688 ₽;23;5,0;Да;Да
2025-07-07;4 шт;389;2 000 ₽;57%;—;864 ₽;846 ₽;3 456 ₽;23;5,0;Да;Да
2025-07-06;14 шт;386;2 000 ₽;57%;—;864 ₽;846 ₽;10 254 ₽;21;5,0;Да;Да
2025-07-05;12 шт;397;2 000 ₽;58%;—;852 ₽;834 ₽;10 356 ₽;21;5,0;Да;Да
2025-07-04;18 шт;406;2 000 ₽;58%;—;852 ₽;834 ₽;14 346 ₽;21;5,0;Да;Да
2025-07-03;13 шт;418;1 800 ₽;57%;—;777 ₽;761 ₽;10 156 ₽;21;5,0;Да;Да
2025-07-02;10 шт;424;1 800 ₽;57%;—;777 ₽;761 ₽;7 935 ₽;20;5,0;Да;Да
2025-07-01;10 шт;434;1 800 ₽;56%;—;803 ₽;786 ₽;8 107 ₽;20;5,0;Да;Да
2025-06-30;21 шт;439;1 800 ₽;56%;—;803 ₽;786 ₽;16 885 ₽;19;5,0;Да;Да
2025-06-29;15 шт;456;1 800 ₽;56%;—;803 ₽;786 ₽;12 143 ₽;19;5,0;Да;Да
