Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-03-13;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;693;5,0;Нет;Нет
2025-03-14;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;697;5,0;Нет;Нет
2025-03-15;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;698;5,0;Нет;Нет
2025-03-16;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;702;5,0;Нет;Нет
2025-03-10;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;688;5,0;Нет;Нет
2025-03-11;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;691;5,0;Нет;Нет
2025-03-12;0 шт;0;0 ₽;0%;—;0 ₽;0 ₽;0 ₽;692;5,0;Нет;Нет
2025-05-19;55 шт;375;838 ₽;17%;—;696 ₽;682 ₽;35 705 ₽;795;5,0;Да;Да
2025-04-29;4 шт;941;780 ₽;19%;—;639 ₽;626 ₽;2 556 ₽;758;5,0;Нет;Нет
2025-05-01;8 шт;928;780 ₽;20%;—;624 ₽;611 ₽;5 082 ₽;760;5,0;Нет;Нет
2025-05-18;104 шт;430;780 ₽;21%;—;617 ₽;604 ₽;63 447 ₽;791;5,0;Да;Да
2025-05-04;6 шт;899;780 ₽;22%;—;616 ₽;603 ₽;3 735 ₽;765;5,0;Нет;Нет
2025-05-02;11 шт;917;780 ₽;23%;—;608 ₽;595 ₽;6 953 ₽;761;5,0;Нет;Нет
2025-05-03;14 шт;905;780 ₽;23%;—;608 ₽;595 ₽;8 724 ₽;763;5,0;Нет;Нет
2025-05-07;9 шт;867;780 ₽;23%;—;608 ₽;595 ₽;5 614 ₽;768;5,0;Нет;Нет
2025-05-13;27 шт;752;780 ₽;23%;—;603 ₽;590 ₽;16 505 ₽;779;5,0;Нет;Да
2025-04-30;5 шт;936;780 ₽;23%;—;608 ₽;595 ₽;3 079 ₽;760;5,0;Нет;Нет
2025-05-20;9 шт;366;834 ₽;24%;—;635 ₽;622 ₽;6 110 ₽;795;5,0;Да;Нет
2025-05-05;10 шт;889;780 ₽;24%;—;600 ₽;588 ₽;6 251 ₽;766;5,0;Нет;Нет
2025-05-11;20 шт;803;780 ₽;24%;—;596 ₽;584 ₽;12 115 ₽;775;5,0;Нет;Да
2025-05-16;51 шт;604;780 ₽;25%;—;588 ₽;576 ₽;30 695 ₽;787;5,0;Да;Да
2025-05-06;13 шт;876;780 ₽;25%;—;592 ₽;580 ₽;7 846 ₽;767;5,0;Нет;Нет
2025-05-08;14 шт;853;780 ₽;25%;—;588 ₽;576 ₽;8 554 ₽;768;5,0;Нет;Да
2025-05-17;67 шт;537;780 ₽;26%;—;582 ₽;570 ₽;39 368 ₽;789;5,0;Да;Да
2025-05-21;24 шт;342;834 ₽;26%;—;618 ₽;605 ₽;15 721 ₽;795;5,0;Да;Нет
2025-05-12;24 шт;779;780 ₽;26%;—;580 ₽;568 ₽;14 403 ₽;778;5,0;Нет;Да
2025-05-09;12 шт;841;780 ₽;27%;—;573 ₽;561 ₽;7 301 ₽;770;5,0;Нет;Да
2025-05-14;39 шт;713;780 ₽;27%;—;573 ₽;561 ₽;23 209 ₽;783;5,0;Нет;Да
2025-05-15;58 шт;655;780 ₽;27%;—;573 ₽;561 ₽;34 430 ₽;785;5,0;Да;Да
2025-05-10;18 шт;823;780 ₽;28%;—;565 ₽;553 ₽;10 538 ₽;772;5,0;Нет;Да
2025-05-23;14 шт;309;1 012 ₽;35%;—;661 ₽;647 ₽;9 033 ₽;814;5,0;Нет;Нет
2025-05-24;7 шт;302;1 012 ₽;36%;—;652 ₽;638 ₽;4 814 ₽;818;5,0;Нет;Нет
2025-05-22;18 шт;323;1 022 ₽;40%;—;615 ₽;602 ₽;12 835 ₽;807;5,0;Нет;Нет
2025-05-26;12 шт;247;1 265 ₽;45%;—;704 ₽;689 ₽;7 008 ₽;828;5,0;Нет;Нет
2025-05-27;2 шт;245;1 265 ₽;45%;—;704 ₽;689 ₽;1 442 ₽;832;5,0;Нет;Нет
2025-05-28;10 шт;235;1 265 ₽;46%;—;695 ₽;681 ₽;7 121 ₽;834;5,0;Нет;Нет
2025-05-25;42 шт;259;1 012 ₽;48%;—;532 ₽;521 ₽;23 215 ₽;821;5,0;Нет;Да
2025-05-29;6 шт;229;1 366 ₽;51%;—;679 ₽;665 ₽;4 235 ₽;838;5,0;Нет;Нет
2025-05-30;3 шт;394;1 366 ₽;51%;—;679 ₽;665 ₽;2 088 ₽;842;5,0;Нет;Да
2025-05-31;9 шт;385;1 366 ₽;51%;—;679 ₽;665 ₽;6 264 ₽;846;5,0;Нет;Да
2025-06-01;5 шт;380;1 509 ₽;53%;—;713 ₽;698 ₽;3 592 ₽;844;5,0;Нет;Да
2025-06-05;5 шт;347;1 536 ₽;54%;—;713 ₽;698 ₽;3 575 ₽;848;5,0;Нет;Да
2025-06-03;12 шт;361;1 509 ₽;55%;—;688 ₽;674 ₽;8 347 ₽;846;5,0;Нет;Да
2025-06-02;7 шт;373;1 509 ₽;56%;—;670 ₽;656 ₽;4 856 ₽;845;5,0;Нет;Да
2025-06-04;9 шт;352;1 536 ₽;56%;—;688 ₽;674 ₽;6 275 ₽;848;5,0;Нет;Да
2025-06-08;2 шт;338;1 536 ₽;56%;—;679 ₽;665 ₽;1 392 ₽;856;5,0;Нет;Да
2025-06-09;5 шт;333;1 536 ₽;56%;—;688 ₽;674 ₽;3 498 ₽;856;5,0;Нет;Да
2025-06-07;4 шт;340;1 536 ₽;57%;—;670 ₽;656 ₽;2 786 ₽;854;5,0;Нет;Да
2025-06-06;3 шт;344;1 536 ₽;58%;—;653 ₽;639 ₽;2 037 ₽;853;5,0;Нет;Да
2025-06-10;6 шт;327;1 536 ₽;58%;—;653 ₽;639 ₽;4 116 ₽;859;5,0;Нет;Да
2025-06-11;4 шт;323;1 536 ₽;58%;—;653 ₽;639 ₽;2 655 ₽;859;5,0;Нет;Да
2025-06-12;6 шт;317;1 910 ₽;65%;—;670 ₽;656 ₽;4 064 ₽;861;5,0;Нет;Да
2025-06-14;9 шт;299;1 910 ₽;65%;—;670 ₽;656 ₽;6 110 ₽;865;5,0;Нет;Да
2024-09-28;0 шт;0;1 480 ₽;65%;—;509 ₽;0 ₽;0 ₽;454;5,0;Нет;Нет
2024-09-16;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;441;5,0;Нет;Нет
2024-09-17;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;441;5,0;Нет;Нет
2024-10-01;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-05;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-09-18;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;442;5,0;Нет;Нет
2024-10-02;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-06;0 шт;0;1 498 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-09-19;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;442;5,0;Нет;Нет
2024-10-03;0 шт;0;1 498 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-09-20;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;443;5,0;Нет;Нет
2024-10-04;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-09-21;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;444;5,0;Нет;Нет
2024-10-05;0 шт;0;1 534 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-09;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-09-22;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;446;5,0;Нет;Нет
2024-11-10;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;484;5,0;Нет;Нет
2024-09-23;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;448;5,0;Нет;Нет
2025-06-13;9 шт;308;1 913 ₽;66%;—;662 ₽;648 ₽;6 144 ₽;863;5,0;Нет;Да
2024-10-07;0 шт;0;1 534 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-11;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;484;5,0;Нет;Нет
2024-12-10;13 шт;379;1 900 ₽;66%;—;630 ₽;630 ₽;8 190 ₽;511;5,0;Да;Нет
2024-09-24;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;449;5,0;Нет;Нет
2024-11-12;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;488;5,0;Нет;Нет
2024-12-11;13 шт;366;1 900 ₽;66%;—;630 ₽;630 ₽;8 190 ₽;514;5,0;Да;Нет
2024-09-25;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;449;5,0;Нет;Нет
2024-10-09;0 шт;0;1 534 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-12-12;14 шт;352;1 900 ₽;66%;—;630 ₽;630 ₽;8 820 ₽;517;5,0;Да;Да
2024-09-26;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;451;5,0;Нет;Нет
2024-11-14;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;488;5,0;Нет;Нет
2024-12-13;32 шт;320;1 900 ₽;66%;—;638 ₽;625 ₽;20 416 ₽;523;5,0;Да;Да
2024-09-27;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;452;5,0;Нет;Нет
2024-10-11;0 шт;0;1 534 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-16;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;488;5,0;Нет;Нет
2024-09-29;0 шт;0;1 534 ₽;66%;—;509 ₽;0 ₽;0 ₽;454;5,0;Нет;Нет
2024-10-13;0 шт;0;1 498 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-17;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;489;5,0;Нет;Нет
2024-09-30;0 шт;0;1 515 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-10-14;0 шт;0;1 498 ₽;66%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-19;0 шт;96;1 750 ₽;66%;—;581 ₽;563 ₽;0 ₽;490;5,0;Нет;Нет
2024-11-21;1 шт;501;1 850 ₽;66%;—;614 ₽;595 ₽;614 ₽;491;5,0;Нет;Нет
2024-10-18;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;471;5,0;Нет;Нет
2024-11-22;1 шт;500;1 850 ₽;66%;—;621 ₽;602 ₽;621 ₽;491;5,0;Нет;Нет
2024-11-23;1 шт;499;1 850 ₽;66%;—;621 ₽;602 ₽;621 ₽;492;5,0;Нет;Нет
2024-10-20;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;477;5,0;Нет;Нет
2024-10-26;0 шт;0;1 534 ₽;66%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-11-02;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-11-03;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-11-04;0 шт;0;1 515 ₽;66%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-12-01;8 шт;461;1 850 ₽;67%;—;599 ₽;599 ₽;4 792 ₽;494;5,0;Да;Нет
2024-12-02;4 шт;457;1 900 ₽;67%;—;615 ₽;615 ₽;2 460 ₽;496;5,0;Да;Нет
2024-12-03;10 шт;447;1 900 ₽;67%;—;615 ₽;615 ₽;6 150 ₽;497;5,0;Да;Нет
2024-12-04;5 шт;442;1 900 ₽;67%;—;615 ₽;615 ₽;3 075 ₽;498;5,0;Да;Нет
2024-12-05;9 шт;433;1 900 ₽;67%;—;615 ₽;615 ₽;5 535 ₽;499;5,0;Да;Нет
2024-11-07;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-12-06;15 шт;418;1 900 ₽;67%;—;615 ₽;615 ₽;9 225 ₽;501;5,0;Да;Нет
2024-11-08;0 шт;0;1 534 ₽;67%;—;503 ₽;487 ₽;0 ₽;481;5,0;Нет;Нет
2024-12-07;9 шт;409;1 900 ₽;67%;—;615 ₽;615 ₽;5 535 ₽;508;5,0;Да;Нет
2024-12-08;9 шт;400;1 900 ₽;67%;—;615 ₽;615 ₽;5 535 ₽;508;5,0;Да;Нет
2024-10-06;0 шт;0;1 571 ₽;67%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-12-09;8 шт;392;1 900 ₽;67%;—;615 ₽;615 ₽;4 920 ₽;509;5,0;Да;Нет
2024-10-08;0 шт;0;1 552 ₽;67%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-13;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;488;5,0;Нет;Нет
2024-10-10;0 шт;0;1 552 ₽;67%;—;509 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-15;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;488;5,0;Нет;Нет
2024-10-12;0 шт;0;1 571 ₽;67%;—;515 ₽;0 ₽;0 ₽;455;5,0;Нет;Нет
2024-11-18;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;490;5,0;Нет;Нет
2024-10-15;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;471;5,0;Нет;Нет
2024-10-16;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;471;5,0;Нет;Нет
2024-11-20;0 шт;420;1 848 ₽;67%;—;606 ₽;587 ₽;0 ₽;491;5,0;Нет;Нет
2024-10-17;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;471;5,0;Нет;Нет
2024-10-19;0 шт;0;1 534 ₽;67%;—;503 ₽;487 ₽;0 ₽;471;5,0;Нет;Нет
2024-10-21;0 шт;0;1 571 ₽;67%;—;509 ₽;493 ₽;0 ₽;459;5,0;Нет;Нет
2024-11-25;2 шт;497;1 850 ₽;67%;—;599 ₽;599 ₽;1 198 ₽;492;5,0;Да;Нет
2024-10-22;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-11-26;5 шт;492;1 850 ₽;67%;—;599 ₽;599 ₽;2 995 ₽;493;5,0;Да;Нет
2024-10-23;0 шт;0;1 571 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-11-27;4 шт;488;1 850 ₽;67%;—;599 ₽;599 ₽;2 396 ₽;493;5,0;Да;Нет
2024-10-24;0 шт;0;1 571 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-10-25;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-11-29;9 шт;476;1 850 ₽;67%;—;599 ₽;599 ₽;5 391 ₽;493;5,0;Да;Нет
2024-11-30;7 шт;469;1 850 ₽;67%;—;599 ₽;599 ₽;4 193 ₽;494;5,0;Да;Нет
2024-10-27;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-11-01;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-10-28;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-10-29;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-10-30;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;463;5,0;Нет;Нет
2024-10-31;0 шт;0;1 552 ₽;67%;—;509 ₽;493 ₽;0 ₽;481;5,0;Нет;Нет
2024-12-14;17 шт;303;1 999 ₽;68%;—;638 ₽;625 ₽;10 846 ₽;526;5,0;Да;Да
2024-12-15;23 шт;280;1 999 ₽;68%;—;638 ₽;625 ₽;14 674 ₽;528;5,0;Да;Да
2024-11-24;0 шт;499;1 850 ₽;68%;—;592 ₽;574 ₽;0 ₽;492;5,0;Да;Нет
2024-11-28;3 шт;485;1 850 ₽;68%;—;592 ₽;592 ₽;1 776 ₽;493;5,0;Да;Нет
2024-12-31;4 шт;86;2 286 ₽;70%;—;680 ₽;666 ₽;2 720 ₽;570;5,0;Да;Нет
2024-12-16;22 шт;258;2 228 ₽;70%;—;655 ₽;641 ₽;14 410 ₽;531;5,0;Да;Да
2024-12-17;14 шт;244;2 228 ₽;70%;—;647 ₽;634 ₽;9 058 ₽;533;5,0;Да;Нет
2024-12-18;14 шт;230;2 286 ₽;70%;—;672 ₽;658 ₽;9 408 ₽;537;5,0;Да;Нет
2024-12-19;13 шт;217;2 286 ₽;70%;—;672 ₽;658 ₽;8 736 ₽;537;5,0;Да;Нет
2024-12-20;13 шт;204;2 286 ₽;70%;—;672 ₽;658 ₽;8 736 ₽;542;5,0;Да;Нет
2024-12-21;9 шт;195;2 286 ₽;70%;—;672 ₽;658 ₽;6 048 ₽;543;5,0;Да;Нет
2024-12-22;14 шт;181;2 286 ₽;70%;—;680 ₽;666 ₽;9 520 ₽;546;5,0;Да;Нет
2024-12-23;12 шт;169;2 286 ₽;70%;—;680 ₽;666 ₽;8 160 ₽;547;5,0;Да;Нет
2024-12-24;3 шт;166;2 286 ₽;70%;—;680 ₽;666 ₽;2 040 ₽;549;5,0;Да;Нет
2024-12-25;15 шт;151;2 286 ₽;70%;—;680 ₽;666 ₽;10 200 ₽;549;5,0;Да;Нет
2025-01-01;2 шт;84;2 286 ₽;70%;—;680 ₽;666 ₽;1 360 ₽;572;5,0;Да;Нет
2024-12-26;14 шт;137;2 286 ₽;70%;—;680 ₽;666 ₽;9 520 ₽;549;5,0;Да;Нет
2025-01-02;13 шт;71;2 286 ₽;70%;—;680 ₽;666 ₽;8 840 ₽;577;5,0;Да;Нет
2024-12-27;18 шт;119;2 286 ₽;70%;—;680 ₽;666 ₽;12 240 ₽;557;5,0;Да;Нет
2025-01-03;12 шт;59;2 286 ₽;70%;—;680 ₽;666 ₽;8 160 ₽;580;5,0;Да;Нет
2024-12-28;14 шт;105;2 286 ₽;70%;—;680 ₽;666 ₽;9 520 ₽;557;5,0;Да;Нет
2024-12-29;9 шт;96;2 286 ₽;70%;—;680 ₽;666 ₽;6 120 ₽;566;5,0;Да;Нет
2024-12-30;6 шт;90;2 286 ₽;70%;—;680 ₽;666 ₽;4 080 ₽;570;5,0;Да;Нет
2025-02-01;0 шт;0;2 471 ₽;71%;—;714 ₽;699 ₽;0 ₽;640;5,0;Нет;Нет
2025-04-01;0 шт;0;2 294 ₽;71%;—;647 ₽;634 ₽;0 ₽;725;5,0;Нет;Нет
2025-02-02;0 шт;0;2 471 ₽;71%;—;714 ₽;699 ₽;0 ₽;643;5,0;Нет;Нет
2025-04-02;0 шт;0;2 294 ₽;71%;—;647 ₽;634 ₽;0 ₽;728;5,0;Нет;Нет
