Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;27 шт;570;2 150 ₽;71%;—;625 ₽;612 ₽;16 998 ₽;222;5,0;Да;Да
2025-09-15;22 шт;587;2 150 ₽;72%;—;614 ₽;601 ₽;13 508 ₽;220;5,0;Да;Да
2025-09-14;24 шт;601;2 150 ₽;72%;—;614 ₽;601 ₽;14 736 ₽;219;5,0;Да;Да
2025-09-13;29 шт;619;2 150 ₽;72%;—;614 ₽;601 ₽;17 806 ₽;219;5,0;Да;Да
2025-09-12;24 шт;644;2 150 ₽;72%;—;614 ₽;601 ₽;15 037 ₽;218;5,0;Да;Да
2025-09-11;20 шт;661;2 150 ₽;72%;—;614 ₽;601 ₽;13 184 ₽;214;5,0;Да;Да
2025-09-10;19 шт;674;2 150 ₽;68%;—;690 ₽;676 ₽;13 407 ₽;212;5,0;Да;Да
2025-09-09;38 шт;205;2 150 ₽;68%;—;690 ₽;676 ₽;27 958 ₽;210;5,0;Да;Да
2025-09-08;18 шт;704;2 150 ₽;70%;—;646 ₽;633 ₽;11 793 ₽;209;5,0;Да;Да
2025-09-07;9 шт;716;2 150 ₽;70%;—;646 ₽;633 ₽;6 012 ₽;207;5,0;Да;Да
2025-09-06;7 шт;720;2 150 ₽;69%;—;679 ₽;665 ₽;4 786 ₽;203;5,0;Да;Да
2025-09-05;20 шт;720;2 150 ₽;68%;—;690 ₽;676 ₽;13 924 ₽;203;5,0;Да;Да
2025-09-04;27 шт;739;2 150 ₽;72%;—;603 ₽;590 ₽;17 225 ₽;203;5,0;Да;Да
2025-09-03;52 шт;762;2 150 ₽;75%;—;548 ₽;537 ₽;25 323 ₽;202;5,0;Да;Да
2025-09-02;16 шт;803;2 150 ₽;74%;—;580 ₽;568 ₽;10 254 ₽;200;5,0;Да;Да
2025-09-01;14 шт;816;2 150 ₽;71%;—;634 ₽;621 ₽;9 230 ₽;198;5,0;Да;Да
2025-08-31;12 шт;822;2 150 ₽;69%;—;670 ₽;656 ₽;8 040 ₽;196;5,0;Да;Да
2025-08-30;13 шт;828;2 150 ₽;69%;—;670 ₽;656 ₽;10 571 ₽;196;5,0;Да;Да
2025-08-29;9 шт;837;2 150 ₽;63%;—;812 ₽;795 ₽;7 830 ₽;196;5,0;Да;Да
2025-08-28;12 шт;843;2 150 ₽;60%;—;870 ₽;852 ₽;10 498 ₽;195;5,0;Да;Да
2025-08-27;15 шт;851;2 150 ₽;60%;—;870 ₽;852 ₽;14 435 ₽;194;5,0;Да;Да
2025-08-26;8 шт;858;2 150 ₽;53%;—;1 011 ₽;990 ₽;8 088 ₽;193;5,0;Да;Да
2025-08-25;17 шт;859;2 150 ₽;53%;—;1 011 ₽;990 ₽;16 947 ₽;191;5,0;Да;Да
2025-08-24;9 шт;869;2 150 ₽;55%;—;987 ₽;967 ₽;8 883 ₽;191;5,0;Да;Да
2025-08-23;8 шт;875;2 150 ₽;55%;—;987 ₽;967 ₽;7 896 ₽;190;5,0;Да;Да
2025-08-22;16 шт;875;2 150 ₽;55%;—;987 ₽;967 ₽;15 792 ₽;190;5,0;Да;Да
2025-08-21;19 шт;887;2 150 ₽;55%;—;987 ₽;967 ₽;18 753 ₽;189;5,0;Да;Да
2025-08-20;9 шт;903;2 150 ₽;55%;—;987 ₽;967 ₽;8 917 ₽;189;5,0;Да;Да
2025-08-19;9 шт;908;2 150 ₽;54%;—;997 ₽;977 ₽;8 676 ₽;189;5,0;Да;Да
2025-08-18;10 шт;514;2 150 ₽;56%;—;947 ₽;928 ₽;9 398 ₽;186;5,0;Да;Да
2025-08-17;19 шт;521;2 150 ₽;57%;—;935 ₽;916 ₽;17 765 ₽;185;5,0;Да;Да
2025-08-16;13 шт;121;2 150 ₽;57%;—;935 ₽;916 ₽;12 155 ₽;184;5,0;Да;Да
2025-08-15;16 шт;127;2 150 ₽;57%;—;935 ₽;916 ₽;14 903 ₽;182;5,0;Да;Да
2025-08-14;13 шт;134;2 150 ₽;60%;—;878 ₽;903 ₽;11 414 ₽;180;5,0;Да;Да
2025-08-13;10 шт;142;2 150 ₽;58%;—;922 ₽;903 ₽;8 780 ₽;179;5,0;Да;Да
2025-08-12;13 шт;147;2 150 ₽;60%;—;878 ₽;903 ₽;11 414 ₽;176;5,0;Да;Да
2025-08-11;6 шт;153;2 150 ₽;58%;—;922 ₽;903 ₽;5 268 ₽;176;5,0;Да;Да
2025-08-10;15 шт;148;2 150 ₽;58%;—;910 ₽;891 ₽;13 170 ₽;176;5,0;Да;Да
2025-08-09;15 шт;151;2 150 ₽;58%;—;910 ₽;891 ₽;13 170 ₽;175;5,0;Да;Да
2025-08-08;17 шт;158;2 150 ₽;58%;—;910 ₽;891 ₽;14 926 ₽;175;5,0;Да;Да
2025-08-07;7 шт;168;2 150 ₽;58%;—;922 ₽;903 ₽;6 146 ₽;173;5,0;Да;Да
2025-08-06;16 шт;163;2 150 ₽;58%;—;922 ₽;903 ₽;14 048 ₽;172;5,0;Да;Да
2025-08-05;14 шт;169;2 150 ₽;58%;—;922 ₽;903 ₽;12 292 ₽;170;5,0;Да;Да
2025-08-04;25 шт;176;2 150 ₽;59%;—;897 ₽;879 ₽;21 950 ₽;168;5,0;Да;Да
2025-08-03;22 шт;193;2 150 ₽;60%;—;878 ₽;848 ₽;19 316 ₽;167;5,0;Да;Да
2025-08-02;25 шт;209;2 150 ₽;60%;—;878 ₽;848 ₽;21 950 ₽;165;5,0;Да;Да
2025-08-01;25 шт;224;2 150 ₽;61%;—;854 ₽;836 ₽;21 926 ₽;165;5,0;Да;Да
2025-07-31;22 шт;241;2 150 ₽;61%;—;842 ₽;825 ₽;18 968 ₽;163;5,0;Да;Да
2025-07-30;14 шт;252;2 150 ₽;60%;—;878 ₽;860 ₽;12 400 ₽;159;5,0;Да;Да
2025-07-29;24 шт;246;2 150 ₽;61%;—;854 ₽;836 ₽;20 928 ₽;159;5,0;Да;Да
2025-07-28;17 шт;256;2 150 ₽;61%;—;842 ₽;825 ₽;14 554 ₽;157;5,0;Да;Да
2025-07-27;12 шт;251;2 150 ₽;60%;—;866 ₽;848 ₽;10 512 ₽;153;5,0;Да;Да
2025-07-26;20 шт;259;2 150 ₽;61%;—;854 ₽;836 ₽;17 380 ₽;150;5,0;Да;Да
2025-07-25;21 шт;266;2 150 ₽;62%;—;830 ₽;813 ₽;17 615 ₽;149;5,0;Да;Да
2025-07-24;37 шт;271;2 150 ₽;62%;—;824 ₽;807 ₽;30 648 ₽;146;5,0;Да;Да
2025-07-23;42 шт;262;2 150 ₽;61%;—;847 ₽;830 ₽;35 576 ₽;144;5,0;Да;Да
2025-07-22;35 шт;292;2 150 ₽;62%;—;824 ₽;807 ₽;28 978 ₽;141;5,0;Да;Да
2025-07-21;40 шт;320;2 150 ₽;62%;—;835 ₽;818 ₽;33 508 ₽;141;5,0;Да;Да
2025-07-20;37 шт;349;2 150 ₽;62%;—;835 ₽;818 ₽;31 112 ₽;139;5,0;Да;Да
2025-07-19;52 шт;370;2 150 ₽;62%;—;824 ₽;807 ₽;43 292 ₽;139;5,0;Да;Да
2025-07-18;24 шт;413;2 150 ₽;63%;—;812 ₽;795 ₽;19 770 ₽;137;5,0;Да;Да
2025-07-17;41 шт;420;2 150 ₽;62%;—;824 ₽;807 ₽;34 129 ₽;136;5,0;Да;Да
2025-07-16;47 шт;452;2 150 ₽;62%;—;835 ₽;818 ₽;39 725 ₽;136;5,0;Да;Да
2025-07-15;27 шт;484;2 150 ₽;61%;—;847 ₽;830 ₽;23 013 ₽;136;5,0;Да;Да
2025-07-14;36 шт;502;2 150 ₽;61%;—;847 ₽;830 ₽;30 672 ₽;135;5,0;Да;Да
2025-07-13;30 шт;529;2 150 ₽;62%;—;835 ₽;818 ₽;25 410 ₽;132;5,0;Да;Да
2025-07-12;37 шт;546;2 150 ₽;61%;—;847 ₽;830 ₽;31 483 ₽;132;5,0;Да;Да
2025-07-11;30 шт;570;2 150 ₽;61%;—;859 ₽;841 ₽;25 686 ₽;131;5,0;Да;Да
2025-07-10;20 шт;593;2 150 ₽;61%;—;839 ₽;822 ₽;17 164 ₽;128;5,0;Да;Да
2025-07-09;29 шт;605;2 150 ₽;61%;—;839 ₽;822 ₽;24 703 ₽;127;5,0;Да;Да
2025-07-08;31 шт;631;2 150 ₽;61%;—;851 ₽;833 ₽;26 753 ₽;123;5,0;Да;Да
2025-07-07;25 шт;647;2 150 ₽;61%;—;851 ₽;833 ₽;21 467 ₽;123;5,0;Да;Да
2025-07-06;21 шт;567;2 150 ₽;61%;—;851 ₽;833 ₽;17 943 ₽;123;5,0;Да;Да
2025-07-05;21 шт;579;2 150 ₽;61%;—;839 ₽;822 ₽;17 799 ₽;121;5,0;Да;Да
2025-07-04;32 шт;589;2 150 ₽;61%;—;839 ₽;822 ₽;27 208 ₽;121;5,0;Да;Да
2025-07-03;23 шт;610;2 150 ₽;61%;—;851 ₽;833 ₽;19 597 ₽;121;5,0;Да;Да
2025-07-02;20 шт;603;2 150 ₽;61%;—;851 ₽;833 ₽;17 224 ₽;115;5,0;Да;Да
2025-07-01;15 шт;612;2 150 ₽;61%;—;851 ₽;833 ₽;13 029 ₽;110;5,0;Да;Да
2025-06-30;16 шт;610;2 150 ₽;61%;—;851 ₽;833 ₽;13 616 ₽;302;5,0;Да;Да
2025-06-29;40 шт;619;2 150 ₽;61%;—;851 ₽;833 ₽;34 292 ₽;301;5,0;Да;Да
2025-06-28;24 шт;645;2 150 ₽;60%;—;863 ₽;845 ₽;20 628 ₽;297;5,0;Да;Да
2025-06-27;26 шт;643;2 150 ₽;61%;—;851 ₽;833 ₽;22 522 ₽;296;5,0;Да;Да
2025-06-26;14 шт;657;2 150 ₽;60%;—;878 ₽;860 ₽;12 451 ₽;293;5,0;Да;Да
2025-06-25;17 шт;657;2 150 ₽;58%;—;910 ₽;891 ₽;15 641 ₽;291;5,0;Да;Да
2025-06-24;25 шт;663;2 150 ₽;57%;—;926 ₽;907 ₽;23 131 ₽;286;5,0;Да;Да
2025-06-23;15 шт;675;2 150 ₽;58%;—;913 ₽;894 ₽;13 921 ₽;282;5,0;Да;Да
2025-06-22;18 шт;682;2 150 ₽;57%;—;938 ₽;919 ₽;16 866 ₽;274;5,0;Да;Да
2025-06-21;25 шт;685;2 150 ₽;61%;—;849 ₽;832 ₽;22 082 ₽;272;5,0;Да;Да
2025-06-20;32 шт;697;2 150 ₽;62%;—;824 ₽;807 ₽;27 471 ₽;271;5,0;Да;Да
2025-06-19;31 шт;631;2 150 ₽;62%;—;824 ₽;807 ₽;27 083 ₽;268;5,0;Да;Да
