Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-16;16 шт;21;2 145 ₽;56%;—;945 ₽;926 ₽;10 165 ₽;593;5,0;Нет;Да
2025-09-15;28 шт;24;2 145 ₽;74%;—;559 ₽;547 ₽;16 041 ₽;592;5,0;Нет;Да
2025-09-14;25 шт;38;2 145 ₽;73%;—;588 ₽;576 ₽;14 700 ₽;588;5,0;Нет;Да
2025-09-13;18 шт;59;2 145 ₽;73%;—;588 ₽;576 ₽;10 584 ₽;584;5,0;Нет;Да
2025-09-12;25 шт;75;2 145 ₽;73%;—;588 ₽;576 ₽;14 895 ₽;579;5,0;Нет;Да
2025-09-11;32 шт;85;2 145 ₽;73%;—;588 ₽;576 ₽;20 294 ₽;576;5,0;Нет;Да
2025-09-10;19 шт;100;2 145 ₽;70%;—;656 ₽;642 ₽;12 065 ₽;572;5,0;Нет;Да
2025-09-09;52 шт;31;2 145 ₽;72%;—;617 ₽;604 ₽;33 540 ₽;572;5,0;Нет;Да
2025-09-08;35 шт;130;2 145 ₽;73%;—;588 ₽;576 ₽;21 021 ₽;570;5,0;Нет;Да
2025-09-07;53 шт;151;2 145 ₽;73%;—;588 ₽;576 ₽;32 051 ₽;568;5,0;Нет;Да
2025-09-06;32 шт;105;2 145 ₽;72%;—;617 ₽;604 ₽;20 853 ₽;564;5,0;Нет;Да
2025-09-05;19 шт;121;2 145 ₽;69%;—;675 ₽;661 ₽;13 372 ₽;560;5,0;Нет;Да
2025-09-04;38 шт;132;2 145 ₽;66%;—;743 ₽;728 ₽;29 220 ₽;559;5,0;Нет;Да
2025-09-03;30 шт;160;2 145 ₽;65%;—;772 ₽;756 ₽;20 512 ₽;557;5,0;Нет;Да
2025-09-02;40 шт;126;2 145 ₽;74%;—;569 ₽;557 ₽;22 920 ₽;556;5,0;Нет;Да
2025-09-01;36 шт;151;2 145 ₽;74%;—;569 ₽;557 ₽;20 744 ₽;556;5,0;Нет;Да
2025-08-31;40 шт;180;2 145 ₽;74%;—;579 ₽;567 ₽;23 178 ₽;552;5,0;Нет;Да
2025-08-30;36 шт;187;2 145 ₽;74%;—;579 ₽;567 ₽;23 775 ₽;547;5,0;Нет;Да
2025-08-29;41 шт;182;2 145 ₽;69%;—;675 ₽;661 ₽;29 512 ₽;547;5,0;Нет;Да
2025-08-28;32 шт;197;2 145 ₽;67%;—;723 ₽;708 ₽;23 577 ₽;547;5,0;Нет;Да
2025-08-27;31 шт;214;2 145 ₽;67%;—;723 ₽;708 ₽;26 239 ₽;544;5,0;Нет;Да
2025-08-26;24 шт;237;2 145 ₽;54%;—;1 008 ₽;987 ₽;21 600 ₽;542;5,0;Нет;Да
